PeakID (cmd=annotatePeaks.pl GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_15398	chr6	135335225	135335857	+	0	NA	intron (HBS1L, intron 4 of 17)	-intron (HBS1L, intron 3 of 16)	-34971	MIR3662	MIR3662	NR_037435			MIR3662			NA
Interval_261	chr1	26644124	26644502	+	0	NA	promoter-TSS (CD52)	-promoter-TSS (CD52)	-98	CD52	CD52	NM_001803			CD52			NA
Interval_818	chr1	108442435	108442676	+	0	NA	intron (VAV3, intron 1 of 26)	-intron (VAV3, intron 1 of 26)	2710	MIR7852	MIR7852	NR_107006			MIR7852			NA
Interval_5332	chr14	64902116	64902409	+	0	NA	intron (MTHFD1, intron 15 of 27)	-intron (MTHFD1, intron 15 of 27)	25177	MIR548AZ	MIR548AZ	NR_106755			MIR548AZ			NA
Interval_5291	chr14	60715706	60716037	+	0	NA	promoter-TSS (PPM1A)	-promoter-TSS (PPM1A)	3401	PPM1A	PPM1A	NM_177952			PPM1A			NA
Interval_12851	chr4	48141083	48141384	+	0	NA	intron (TEC, intron 15 of 17)	-intron (TEC, intron 15 of 17)	-4960	TXK	TXK	NM_003328			TXK			NA
Interval_9803	chr2	177355886	177356401	+	0	NA	Intergenic	Intergenic	109637	MIR1246	MIR1246	NR_031648			MIR1246			NA
Interval_6026	chr15	64860880	64861301	+	0	NA	intron (ZNF609, intron 1 of 8)	-intron (ZNF609, intron 1 of 8)	69471	ZNF609	ZNF609	NM_015042			ZNF609			NA
Interval_14392	chr5	157553244	157553829	+	0	NA	Intergenic	Intergenic	-267353	CLINT1	CLINT1	NM_014666			CLINT1			NA
Interval_12477	chr3	178865698	178866102	+	0	NA	promoter-TSS (PIK3CA)	-promoter-TSS (PIK3CA)	-139	LOC101928739	LOC101928739	NR_125401			LOC101928739			NA
Interval_12443	chr3	171848053	171848239	+	0	NA	intron (FNDC3B, intron 2 of 25)	-intron (FNDC3B, intron 2 of 25)	90728	FNDC3B	FNDC3B	NM_001135095			FNDC3B			NA
Interval_11701	chr3	34062693	34063108	+	0	NA	Intergenic	Intergenic	222837	PDCD6IP	PDCD6IP	NM_013374			PDCD6IP			NA
Interval_16987	chr8	105646552	105647090	+	0	NA	Intergenic	Intergenic	-45569	LRP12	LRP12	NM_013437			LRP12			NA
Interval_17946	chr9	134707990	134708463	+	0	NA	Intergenic	Intergenic	-122997	RAPGEF1	RAPGEF1	NM_001304275			RAPGEF1			NA
Interval_10362	chr20	10505181	10505546	+	0	NA	intron (SLX4IP, intron 2 of 7)	-intron (SLX4IP, intron 2 of 7)	89412	SLX4IP	SLX4IP	NM_001009608			SLX4IP			NA
Interval_4315	chr12	105089388	105089643	+	0	NA	intron (CHST11, intron 2 of 2)	-intron (CHST11, intron 2 of 2)	104104	MIR3922	MIR3922	NR_037487			MIR3922			NA
Interval_11472	chr3	10468591	10468775	+	0	NA	intron (ATP2B2, intron 2 of 19)	-intron (ATP2B2, intron 2 of 22)	-32437	MIR885	MIR885	NR_030614			MIR885			NA
Interval_5622	chr14	99728898	99729157	+	0	NA	intron (BCL11B, intron 1 of 3)	-intron (BCL11B, intron 1 of 3)	9023	BCL11B	BCL11B	NM_138576			BCL11B			NA
Interval_15716	chr7	12397056	12397370	+	0	NA	intron (VWDE, intron 16 of 28)	-intron (VWDE, intron 16 of 28)	46639	VWDE	VWDE	NM_001135924			VWDE			NA
Interval_6447	chr16	9056358	9056556	+	0	NA	intron (USP7, intron 1 of 30)	-intron (USP7, intron 1 of 30)	884	USP7	USP7	NM_003470			USP7			NA
Interval_14339	chr5	150534977	150535264	+	0	NA	intron (ANXA6, intron 1 of 25)	-intron (ANXA6, intron 1 of 25)	-13904	ANXA6	ANXA6	NM_001155			ANXA6			NA
Interval_10420	chr20	20630754	20631228	+	0	NA	intron (RALGAPA2, intron 4 of 39)	-intron (RALGAPA2, intron 4 of 39)	62275	RALGAPA2	RALGAPA2	NM_020343			RALGAPA2			NA
Interval_4729	chr13	41556993	41557228	+	0	NA	promoter-TSS (ELF1)	-promoter-TSS (ELF1)	36398	ELF1	ELF1	NM_172373			ELF1			NA
Interval_7986	chr18	36061675	36062011	+	0	NA	Intergenic	Intergenic	824745	MIR4318	MIR4318	NR_036202			MIR4318			NA
Interval_3192	chr11	64530699	64530937	+	0	NA	Intergenic	Intergenic	-2631	PYGM	PYGM	NM_001164716			PYGM			NA
Interval_6935	chr16	87523716	87524087	+	0	NA	intron (ZCCHC14, intron 1 of 12)	-intron (ZCCHC14, intron 1 of 12)	1559	ZCCHC14	ZCCHC14	NM_015144			ZCCHC14			NA
Interval_5739	chr15	23810459	23810789	+	0	NA	exon (MKRN3, exon 1 of 1)	-exon (MKRN3, exon 1 of 1)	170	MKRN3	MKRN3	NM_005664			MKRN3			NA
Interval_17719	chr9	109722687	109722937	+	0	NA	intron (MIR548Q, intron 1 of 3)	-intron (ZNF462, intron 7 of 12)	97434	ZNF462	ZNF462	NM_021224			ZNF462			NA
Interval_1682	chr1	230400125	230400315	+	0	NA	intron (GALNT2, intron 13 of 15)	-intron (GALNT2, intron 13 of 15)	161454	PGBD5	PGBD5	NM_001258311			PGBD5			NA
Interval_10059	chr2	218083628	218083812	+	0	NA	Intergenic	Intergenic	348225	LOC101928327	LOC101928327	NR_130782			LOC101928327			NA
Interval_8840	chr2	12176704	12176953	+	0	NA	intron (LOC100506457, intron 2 of 5)	-intron (LOC100506457, intron 2 of 5)	29586	LOC100506457	LOC100506457	NR_110196			LOC100506457			NA
Interval_3873	chr12	27016400	27016845	+	0	NA	Intergenic	Intergenic	-30491	ITPR2	ITPR2	NM_002223			ITPR2			NA
Interval_11711	chr3	35706028	35706430	+	0	NA	intron (ARPP21, intron 1 of 19)	-intron (ARPP21, intron 1 of 5)	-16200	ARPP21	ARPP21	NM_001267617			ARPP21			NA
Interval_8148	chr18	71619838	71620335	+	0	NA	Intergenic	Intergenic	194913	FBXO15	FBXO15	NM_001142958			FBXO15			NA
Interval_138	chr1	15743976	15744383	+	0	NA	intron (EFHD2, intron 1 of 3)	-intron (EFHD2, intron 1 of 3)	7788	EFHD2	EFHD2	NM_024329			EFHD2			NA
Interval_207	chr1	23778384	23778996	+	0	NA	intron (ASAP3, intron 4 of 24)	-intron (ASAP3, intron 4 of 23)	-27418	TCEA3	TCEA3	NM_003196			TCEA3			NA
Interval_13648	chr5	39187948	39188362	+	0	NA	intron (FYB, intron 2 of 17)	-intron (FYB, intron 2 of 18)	31525	FYB	FYB	NM_001243093			FYB			NA
Interval_12385	chr3	155052531	155053539	+	0	NA	Intergenic	Intergenic	-41546	LOC100507537	LOC100507537	NR_037902			LOC100507537			NA
Interval_10980	chr21	43175883	43176075	+	0	NA	intron (RIPK4, intron 2 of 7)	-intron (RIPK4, intron 2 of 7)	-8978	MIR6814	MIR6814	NR_106872			MIR6814			NA
Interval_6552	chr16	23880465	23880816	+	0	NA	intron (PRKCB, intron 2 of 16)	-intron (PRKCB, intron 2 of 16)	33340	PRKCB	PRKCB	NM_212535			PRKCB			NA
Interval_15435	chr6	137978441	137978776	+	0	NA	Intergenic	Intergenic	-8175	LOC102723649	LOC102723649	NR_125867			LOC102723649			NA
Interval_12253	chr3	128225624	128225972	+	0	NA	promoter-TSS (LOC90246)	-promoter-TSS (LOC90246)	-880	LOC90246	LOC90246	NR_026954			LOC90246			NA
Interval_15205	chr6	98987648	98987912	+	0	NA	Intergenic	Intergenic	-294800	POU3F2	POU3F2	NM_005604			POU3F2			NA
Interval_939	chr1	117123498	117123992	+	0	NA	intron (IGSF3, intron 9 of 10)	-intron (IGSF3, intron 9 of 10)	-10030	CD58	CD58	NM_001779			CD58			NA
Interval_15556	chr6	157620342	157620581	+	0	NA	Intergenic	Intergenic	124830	TMEM242	TMEM242	NM_018452			TMEM242			NA
Interval_12048	chr3	76610694	76611048	+	0	NA	Intergenic	Intergenic	-478423	ROBO2	ROBO2	NM_002942			ROBO2			NA
Interval_10765	chr20	59102803	59103104	+	0	NA	Intergenic	Intergenic	-36667	MIR548AG2	MIR548AG2	NR_039653			MIR548AG2			NA
Interval_2012	chr10	17183530	17183862	+	0	NA	Intergenic	Intergenic	-11880	CUBN	CUBN	NM_001081			CUBN			NA
Interval_17582	chr9	91219385	91219819	+	0	NA	Intergenic	Intergenic	47473	LOC286238	LOC286238	NM_001100111			LOC286238			NA
Interval_4150	chr12	71930225	71930552	+	0	NA	intron (LGR5, intron 4 of 16)	-intron (LGR5, intron 4 of 16)	96838	LGR5	LGR5	NM_003667			LGR5			NA
Interval_2598	chr10	111973615	111973936	+	0	NA	intron (MXI1, intron 1 of 4)	-intron (MXI1, intron 1 of 4)	6412	MXI1	MXI1	NM_005962			MXI1			NA
Interval_14827	chr6	31538546	31538764	+	0	NA	Intergenic	Intergenic	-1221	LTA	LTA	NM_000595_6			LTA			NA
Interval_13561	chr5	10589020	10589346	+	0	NA	intron (ANKRD33B, intron 1 of 3)	-intron (ANKRD33B, intron 1 of 3)	24748	ANKRD33B	ANKRD33B	NM_001164440			ANKRD33B			NA
Interval_3926	chr12	38570600	38570976	+	0	NA	Intergenic	Intergenic	-139769	ALG10B	ALG10B	NM_001308340			ALG10B			NA
Interval_17132	chr8	130089952	130090396	+	0	NA	Intergenic	Intergenic	163312	LINC00977	LINC00977	NR_033916			LINC00977			NA
Interval_3801	chr12	12050759	12051098	+	0	NA	intron (RNU6-19P, intron 1 of 3)	-intron (RNU6-19P, intron 1 of 3)	28179	RNU6-19P	RNU6-19P	NR_046487_1			RNU6-19P			NA
Interval_2178	chr10	45491162	45491350	+	0	NA	intron (C10orf25, intron 3 of 3)	-intron (C10orf25, intron 3 of 3)	-5017	ZNF22	ZNF22	NM_006963			ZNF22			NA
Interval_217	chr1	23946106	23946563	+	0	NA	Intergenic	Intergenic	-7490	MDS2	MDS2	NR_027042			MDS2			NA
Interval_17384	chr9	21047497	21047674	+	0	NA	Intergenic	Intergenic	-15950	HACD4	HACD4	NM_001010915			HACD4			NA
Interval_14099	chr5	118788437	118788803	+	0	NA	intron (HSD17B4, intron 1 of 23)	-intron (HSD17B4, intron 1 of 23)	428	HSD17B4	HSD17B4	NM_000414			HSD17B4			NA
Interval_9648	chr2	144019582	144020063	+	0	NA	intron (ARHGAP15, intron 6 of 13)	-intron (ARHGAP15, intron 6 of 13)	132923	ARHGAP15	ARHGAP15	NM_018460			ARHGAP15			NA
Interval_12206	chr3	121700322	121700702	+	0	NA	Intergenic	Intergenic	40615	ILDR1	ILDR1	NM_175924			ILDR1			NA
Interval_14391	chr5	157427330	157427537	+	0	NA	Intergenic	Intergenic	-141250	CLINT1	CLINT1	NM_014666			CLINT1			NA
Interval_3273	chr11	71210063	71210620	+	0	NA	intron (NADSYN1, intron 20 of 20)	-intron (NADSYN1, intron 20 of 20)	25792	MIR6754	MIR6754	NR_106812			MIR6754			NA
Interval_4998	chr13	99880989	99881475	+	0	NA	intron (MIR548AN, intron 4 of 4)	-intron (UBAC2, intron 1 of 8)	28069	UBAC2	UBAC2	NM_177967			UBAC2			NA
Interval_230	chr1	24802270	24802515	+	0	NA	Intergenic	Intergenic	26458	RCAN3AS	RCAN3AS	NR_045408			RCAN3AS			NA
Interval_17891	chr9	130866690	130866965	+	0	NA	intron (SLC25A25, intron 5 of 9)	-intron (SLC25A25, intron 5 of 9)	6066	SLC25A25	SLC25A25	NM_001265614			SLC25A25			NA
Interval_12238	chr3	126794652	126795005	+	0	NA	Intergenic	Intergenic	87391	PLXNA1	PLXNA1	NM_032242			PLXNA1			NA
Interval_4541	chr12	130114315	130114720	+	0	NA	intron (TMEM132D, intron 2 of 8)	-intron (TMEM132D, intron 2 of 8)	273695	TMEM132D	TMEM132D	NM_133448			TMEM132D			NA
Interval_12303	chr3	136286413	136286825	+	0	NA	intron (STAG1, intron 5 of 33)	-intron (STAG1, intron 5 of 33)	184626	STAG1	STAG1	NM_005862			STAG1			NA
Interval_8336	chr19	11134449	11134670	+	0	NA	intron (SMARCA4, intron 20 of 34)	-intron (SMARCA4, intron 21 of 35)	62961	SMARCA4	SMARCA4	NM_003072			SMARCA4			NA
Interval_7069	chr17	5184720	5185647	+	0	NA	promoter-TSS (RABEP1)	-promoter-TSS (RABEP1)	-375	RABEP1	RABEP1	NM_001291581			RABEP1			NA
Interval_7684	chr17	74722894	74723145	+	0	NA	promoter-TSS (JMJD6)	-promoter-TSS (JMJD6)	107	METTL23	METTL23	NM_001080510			METTL23			NA
Interval_2788	chr10	131969284	131969882	+	0	NA	intron (GLRX3, intron 7 of 10)	-intron (GLRX3, intron 7 of 11)	34944	GLRX3	GLRX3	NM_001199868			GLRX3			NA
Interval_17357	chr9	15431065	15431381	+	0	NA	intron (SNAPC3, intron 2 of 8)	-intron (SNAPC3, intron 2 of 8)	8441	SNAPC3	SNAPC3	NM_001039697			SNAPC3			NA
Interval_14772	chr6	24952006	24952238	+	0	NA	intron (FAM65B, intron 1 of 13)	-intron (FAM65B, intron 1 of 13)	-74529	FAM65B	FAM65B	NM_001286446			FAM65B			NA
Interval_3410	chr11	102336892	102337528	+	0	NA	Intergenic	Intergenic	-13435	TMEM123	TMEM123	NM_052932			TMEM123			NA
Interval_4175	chr12	80347940	80348150	+	0	NA	Intergenic	Intergenic	-19067	PPP1R12A	PPP1R12A	NM_001244990			PPP1R12A			NA
Interval_2651	chr10	116300968	116301355	+	0	NA	intron (ABLIM1, intron 6 of 21)	-intron (ABLIM1, intron 6 of 21)	-14476	ABLIM1	ABLIM1	NM_001003407			ABLIM1			NA
Interval_14991	chr6	43692883	43693273	+	0	NA	Intergenic	Intergenic	-37529	MRPS18A	MRPS18A	NM_001193343			MRPS18A			NA
Interval_8932	chr2	29232844	29233094	+	0	NA	intron (FAM179A, intron 6 of 19)	-intron (FAM179A, intron 6 of 19)	28805	FAM179A	FAM179A	NM_199280			FAM179A			NA
Interval_13795	chr5	67551437	67551971	+	0	NA	intron (PIK3R1, intron 2 of 15)	-intron (PIK3R1, intron 2 of 15)	-32548	PIK3R1	PIK3R1	NM_181523			PIK3R1			NA
Interval_1176	chr1	168308125	168308365	+	0	NA	Intergenic	Intergenic	-36517	MIR557	MIR557	NR_030284			MIR557			NA
Interval_17723	chr9	109806205	109806711	+	0	NA	intron (LOC340512, intron 4 of 4)	-intron (MIR548Q, intron 1 of 3)	42258	MIR548Q	MIR548Q	NR_031752			MIR548Q			NA
Interval_14813	chr6	30684878	30685098	+	0	NA	intron (MDC1, intron 1 of 14)	-intron (MDC1, intron 1 of 14)	470	MDC1	MDC1	NM_014641_7			MDC1			NA
Interval_15602	chr6	160490244	160490518	+	0	NA	intron (IGF2R, intron 30 of 47)	-intron (IGF2R, intron 30 of 47)	-23733	LOC729603	LOC729603	NR_003288			LOC729603			NA
Interval_9131	chr2	65617280	65617590	+	0	NA	intron (SPRED2, intron 1 of 5)	-intron (SPRED2, intron 1 of 5)	42221	SPRED2	SPRED2	NM_181784			SPRED2			NA
Interval_1833	chr10	1013237	1013574	+	0	NA	Intergenic	Intergenic	-20944	GTPBP4	GTPBP4	NM_012341			GTPBP4			NA
Interval_17758	chr9	115297921	115298170	+	0	NA	intron (KIAA1958, intron 1 of 3)	-intron (KIAA1958, intron 1 of 4)	48797	KIAA1958	KIAA1958	NM_001287036			KIAA1958			NA
Interval_1967	chr10	12577663	12578141	+	0	NA	intron (CAMK1D, intron 1 of 10)	-intron (CAMK1D, intron 1 of 9)	-42850	MIR4480	MIR4480	NR_039700			MIR4480			NA
Interval_5764	chr15	29240735	29241166	+	0	NA	intron (APBA2, intron 1 of 13)	-intron (APBA2, intron 1 of 12)	27110	APBA2	APBA2	NM_005503			APBA2			NA
Interval_925	chr1	116090043	116090862	+	0	NA	Intergenic	Intergenic	-94122	VANGL1	VANGL1	NM_001172411			VANGL1			NA
Interval_7579	chr17	63553335	63553644	+	0	NA	intron (AXIN2, intron 2 of 10)	-intron (AXIN2, intron 2 of 10)	4251	AXIN2	AXIN2	NM_004655			AXIN2			NA
Interval_13974	chr5	95053814	95054373	+	0	NA	Intergenic	Intergenic	-12757	RHOBTB3	RHOBTB3	NM_014899			RHOBTB3			NA
Interval_3526	chr11	119455007	119455305	+	0	NA	Intergenic	Intergenic	144279	PVRL1	PVRL1	NM_203285			PVRL1			NA
Interval_4892	chr13	74200001	74200501	+	0	NA	Intergenic	Intergenic	61870	LINC00392	LINC00392	NR_047009			LINC00392			NA
Interval_13827	chr5	73438958	73439135	+	0	NA	Intergenic	Intergenic	165104	LINC01335	LINC01335	NR_105009			LINC01335			NA
Interval_1938	chr10	11374889	11375206	+	0	NA	exon (CELF2, exon 15 of 15)	-exon (CELF2, exon 15 of 15)	11626	CELF2-AS1	CELF2-AS1	NR_126062			CELF2-AS1			NA
Interval_6768	chr16	67257949	67258131	+	0	NA	intron (LRRC29, intron 1 of 6)	-intron (LRRC29, intron 1 of 6)	2681	LRRC29	LRRC29	NM_001004055			LRRC29			NA
Interval_11632	chr3	26874689	26875019	+	0	NA	Intergenic	Intergenic	210554	LRRC3B	LRRC3B	NM_052953			LRRC3B			NA
Interval_6627	chr16	30483723	30484159	+	0	NA	promoter-TSS (ITGAL)	-promoter-TSS (ITGAL)	-42	ITGAL	ITGAL	NM_001114380			ITGAL			NA
Interval_589	chr1	64116752	64117313	+	0	NA	intron (PGM1, intron 8 of 10)	-intron (PGM1, intron 8 of 10)	58085	PGM1	PGM1	NM_001172819			PGM1			NA
Interval_711	chr1	92875763	92876647	+	0	NA	Intergenic	Intergenic	76228	GFI1	GFI1	NM_005263			GFI1			NA
Interval_11574	chr3	17988136	17988615	+	0	NA	Intergenic	Intergenic	-15689	LOC339862	LOC339862	NM_001257177			LOC339862			NA
Interval_13767	chr5	61601660	61601870	+	0	NA	promoter-TSS (KIF2A)	-promoter-TSS (KIF2A)	-224	KIF2A	KIF2A	NM_004520			KIF2A			NA
Interval_3481	chr11	116722430	116722611	+	0	NA	intron (SIK3, intron 20 of 23)	-intron (SIK3, intron 21 of 24)	-14182	APOA1	APOA1	NM_000039			APOA1			NA
Interval_1443	chr1	205253974	205254275	+	0	NA	Intergenic	Intergenic	36795	NUAK2	NUAK2	NM_030952			NUAK2			NA
Interval_9866	chr2	191209474	191209836	+	0	NA	intron (INPP1, intron 1 of 5)	-intron (INPP1, intron 1 of 6)	1459	INPP1	INPP1	NM_002194			INPP1			NA
Interval_15510	chr6	148290642	148291018	+	0	NA	Intergenic	Intergenic	-372899	SASH1	SASH1	NM_015278			SASH1			NA
Interval_14595	chr6	6264894	6265132	+	0	NA	intron (F13A1, intron 4 of 14)	-intron (F13A1, intron 4 of 14)	55911	F13A1	F13A1	NM_000129			F13A1			NA
Interval_17760	chr9	115516991	115517206	+	0	NA	intron (SNX30, intron 1 of 8)	-intron (SNX30, intron 1 of 8)	3964	SNX30	SNX30	NM_001012994			SNX30			NA
Interval_13062	chr4	101451426	101451607	+	0	NA	Intergenic	Intergenic	-12266	EMCN	EMCN	NM_016242			EMCN			NA
Interval_2439	chr10	89623124	89623367	+	0	NA	promoter-TSS (PTEN)	-promoter-TSS (PTEN)	50	PTEN	PTEN	NM_001304718			PTEN			NA
Interval_3886	chr12	27613652	27613909	+	0	NA	Intergenic	Intergenic	-5963	SMCO2	SMCO2	NM_001145010			SMCO2			NA
Interval_1787	chr1	239880609	239880966	+	0	NA	intron (CHRM3-AS2, intron 1 of 2)	-intron (CHRM3, intron 3 of 4)	1632	CHRM3-AS2	CHRM3-AS2	NR_103776			CHRM3-AS2			NA
Interval_2217	chr10	52381667	52381867	+	0	NA	intron (SGMS1, intron 1 of 10)	-intron (SGMS1, intron 1 of 10)	1970	SGMS1	SGMS1	NM_147156			SGMS1			NA
Interval_14949	chr6	41301455	41301943	+	0	NA	Intergenic	Intergenic	-1829	NCR2	NCR2	NM_004828			NCR2			NA
Interval_10348	chr20	6688005	6688511	+	0	NA	Intergenic	Intergenic	-60487	BMP2	BMP2	NM_001200			BMP2			NA
Interval_17530	chr9	82196746	82197198	+	0	NA	intron (TLE4, intron 4 of 20)	-intron (TLE4, intron 4 of 20)	10284	TLE4	TLE4	NM_001282753			TLE4			NA
Interval_4244	chr12	95381577	95381820	+	0	NA	intron (NDUFA12, intron 2 of 2)	-intron (NDUFA12, intron 2 of 2)	15791	NDUFA12	NDUFA12	NM_018838			NDUFA12			NA
Interval_8927	chr2	28767554	28767825	+	0	NA	intron (PLB1, intron 14 of 57)	-intron (PLB1, intron 14 of 56)	48751	PLB1	PLB1	NM_153021			PLB1			NA
Interval_15945	chr7	50428231	50428571	+	0	NA	intron (IKZF1, intron 2 of 2)	-intron (IKZF1, intron 3 of 6)	84136	IKZF1	IKZF1	NM_001291840			IKZF1			NA
Interval_5317	chr14	61974854	61975046	+	0	NA	intron (PRKCH, intron 10 of 13)	-intron (PRKCH, intron 10 of 13)	61962	LOC101927780	LOC101927780	NR_110416			LOC101927780			NA
Interval_10345	chr20	6141493	6141682	+	0	NA	Intergenic	Intergenic	-37396	FERMT1	FERMT1	NM_017671			FERMT1			NA
Interval_16274	chr7	138588155	138588646	+	0	NA	exon (KIAA1549, exon 8 of 20)	-exon (KIAA1549, exon 8 of 20)	77664	KIAA1549	KIAA1549	NM_020910			KIAA1549			NA
Interval_12532	chr3	185927880	185928118	+	0	NA	intron (DGKG, intron 21 of 24)	-intron (DGKG, intron 20 of 23)	-101098	ETV5	ETV5	NM_004454			ETV5			NA
Interval_15501	chr6	144881214	144881829	+	0	NA	intron (UTRN, intron 49 of 73)	-intron (UTRN, intron 49 of 73)	268648	UTRN	UTRN	NM_007124			UTRN			NA
Interval_5454	chr14	75760895	75761135	+	0	NA	promoter-TSS (LINC01220)	-promoter-TSS (LINC01220)	-92	LINC01220	LINC01220	NR_038421			LINC01220			NA
Interval_2323	chr10	73610807	73611326	+	0	NA	promoter-TSS (PSAP)	-promoter-TSS (PSAP)	16	PSAP	PSAP	NM_002778			PSAP			NA
Interval_6658	chr16	47263123	47263794	+	0	NA	intron (ITFG1, intron 13 of 17)	-intron (ITFG1, intron 13 of 17)	85479	ITFG1-AS1	ITFG1-AS1	NR_110903			ITFG1-AS1			NA
Interval_10123	chr2	231588015	231588319	+	0	NA	intron (CAB39, intron 1 of 8)	-intron (CAB39, intron 1 of 8)	10610	CAB39	CAB39	NM_001130849			CAB39			NA
Interval_1229	chr1	173792029	173792422	+	0	NA	intron (CENPL, intron 2 of 5)	-intron (CENPL, intron 2 of 6)	1552	CENPL	CENPL	NM_001127181			CENPL			NA
Interval_17763	chr9	116279406	116279608	+	0	NA	intron (RGS3, intron 16 of 25)	-intron (RGS3, intron 6 of 14)	-76693	RGS3	RGS3	NM_001282923			RGS3			NA
Interval_8712	chr19	57998759	57999092	+	0	NA	promoter-TSS (ZNF419)	-promoter-TSS (ZNF419)	-154	ZNF419	ZNF419	NM_001291745			ZNF419			NA
Interval_15649	chr7	1547834	1548401	+	0	NA	Intergenic	Intergenic	-4099	INTS1	INTS1	NM_001080453			INTS1			NA
Interval_16081	chr7	96652017	96652585	+	0	NA	intron (DLX5, intron 1 of 2)	-intron (DLX5, intron 1 of 2)	1842	DLX5	DLX5	NM_005221			DLX5			NA
Interval_12098	chr3	106253206	106253515	+	0	NA	Intergenic	Intergenic	-665473	CBLB	CBLB	NM_170662			CBLB			NA
Interval_6811	chr16	71197448	71197821	+	0	NA	intron (HYDIN, intron 5 of 19)	-intron (HYDIN, intron 5 of 18)	66991	HYDIN	HYDIN	NM_001198543			HYDIN			NA
Interval_7823	chr18	2655573	2655878	+	0	NA	promoter-TSS (SMCHD1)	-promoter-TSS (SMCHD1)	-161	SMCHD1	SMCHD1	NM_015295			SMCHD1			NA
Interval_9404	chr2	105378479	105378864	+	0	NA	Intergenic	Intergenic	-4494	LINC01114	LINC01114	NR_038231			LINC01114			NA
Interval_8360	chr19	13395348	13395559	+	0	NA	intron (CACNA1A, intron 21 of 46)	-intron (CACNA1A, intron 21 of 46)	134171	IER2	IER2	NM_004907			IER2			NA
Interval_18367	chrY	15797636	15797861	+	0	NA	Intergenic	Intergenic	-17699	TMSB4Y	TMSB4Y	NM_004202			TMSB4Y			NA
Interval_8146	chr18	71529112	71529346	+	0	NA	Intergenic	Intergenic	285770	FBXO15	FBXO15	NM_001142958			FBXO15			NA
Interval_5522	chr14	90239340	90239749	+	0	NA	Intergenic	Intergenic	181577	EFCAB11	EFCAB11	NM_001284267			EFCAB11			NA
Interval_2579	chr10	105881386	105881998	+	0	NA	promoter-TSS (SFR1)	-promoter-TSS (SFR1)	-124	SFR1	SFR1	NM_145247			SFR1			NA
Interval_330	chr1	32354828	32355039	+	0	NA	Intergenic	Intergenic	49055	PTP4A2	PTP4A2	NM_080391			PTP4A2			NA
Interval_5855	chr15	42083433	42083682	+	0	NA	intron (MAPKBP1, intron 2 of 28)	-intron (MAPKBP1, intron 2 of 31)	16925	MAPKBP1	MAPKBP1	NM_001265611			MAPKBP1			NA
Interval_520	chr1	55072172	55072384	+	0	NA	intron (ACOT11, intron 13 of 15)	-intron (ACOT11, intron 13 of 16)	16922	FAM151A	FAM151A	NM_176782			FAM151A			NA
Interval_7728	chr17	76126599	76126909	+	0	NA	promoter-TSS (TMC8)	-promoter-TSS (TMC8)	-105	TMC8	TMC8	NM_152468			TMC8			NA
Interval_7951	chr18	29598523	29598741	+	0	NA	exon (RNF125, exon 1 of 6)	-exon (RNF125, exon 1 of 6)	187	RNF125	RNF125	NM_017831			RNF125			NA
Interval_2878	chr11	9752827	9753053	+	0	NA	intron (SWAP70, intron 6 of 11)	-intron (SWAP70, intron 5 of 10)	-26900	SBF2-AS1	SBF2-AS1	NR_036485			SBF2-AS1			NA
Interval_5813	chr15	38923438	38923930	+	0	NA	Intergenic	Intergenic	-65115	C15orf53	C15orf53	NM_207444			C15orf53			NA
Interval_4754	chr13	43817979	43818165	+	0	NA	intron (ENOX1, intron 14 of 16)	-intron (ENOX1, intron 14 of 16)	130771	LINC00400	LINC00400	NR_047013			LINC00400			NA
Interval_1786	chr1	239247517	239247810	+	0	NA	Intergenic	Intergenic	-544710	CHRM3	CHRM3	NM_000740			CHRM3			NA
Interval_2308	chr10	72240010	72240394	+	0	NA	intron (PALD1, intron 1 of 19)	-intron (PALD1, intron 1 of 19)	1638	PALD1	PALD1	NM_014431			PALD1			NA
Interval_9633	chr2	137140967	137141144	+	0	NA	Intergenic	Intergenic	-265330	CXCR4	CXCR4	NM_003467			CXCR4			NA
Interval_3266	chr11	70283229	70283482	+	0	NA	TTS (CTTN)	-TTS (CTTN)	38743	CTTN	CTTN	NM_001184740			CTTN			NA
Interval_7833	chr18	3709248	3709468	+	0	NA	intron (DLGAP1, intron 4 of 10)	-intron (DLGAP1, intron 4 of 9)	105623	DLGAP1-AS2	DLGAP1-AS2	NR_119377			DLGAP1-AS2			NA
Interval_1876	chr10	6133623	6134145	+	0	NA	intron (RBM17, intron 1 of 11)	-intron (RBM17, intron 1 of 11)	2935	RBM17	RBM17	NM_032905			RBM17			NA
Interval_16354	chr7	150102176	150102437	+	0	NA	promoter-TSS (LOC728743)	-promoter-TSS (LOC728743)	-534	LOC728743	LOC728743	NR_027237			LOC728743			NA
Interval_10796	chr20	62258217	62258457	+	0	NA	promoter-TSS (GMEB2)	-promoter-TSS (GMEB2)	44	GMEB2	GMEB2	NM_012384			GMEB2			NA
Interval_6034	chr15	66084585	66084999	+	0	NA	promoter-TSS (DENND4A)	-promoter-TSS (DENND4A)	-161	DENND4A	DENND4A	NM_005848			DENND4A			NA
