PeakID (cmd=annotatePeaks.pl PRDM1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_680	chr16	11318720	11319953	+	0	NA	Intergenic	Intergenic	30703	SOCS1	SOCS1	NM_003745			SOCS1			NA
Interval_191	chr1	212112028	212112400	+	0	NA	Intergenic	Intergenic	-96681	DTL	DTL	NM_001286229			DTL			NA
Interval_1524	chr6	6688011	6689075	+	0	NA	Intergenic	Intergenic	-65484	LY86-AS1	LY86-AS1	NR_026970			LY86-AS1			NA
Interval_1027	chr2	61054128	61054423	+	0	NA	Intergenic	Intergenic	54174	LINC01185	LINC01185	NR_033980			LINC01185			NA
Interval_649	chr15	81586289	81586747	+	0	NA	intron (IL16, intron 11 of 17)	-intron (IL16, intron 12 of 18)	30006	STARD5	STARD5	NM_181900			STARD5			NA
Interval_79	chr1	70916273	70917555	+	0	NA	Intergenic	Intergenic	40013	CTH	CTH	NM_001190463			CTH			NA
Interval_1389	chr4	38525549	38526170	+	0	NA	Intergenic	Intergenic	-1058	LINC01258	LINC01258	NR_110951			LINC01258			NA
Interval_1072	chr2	137084547	137085305	+	0	NA	Intergenic	Intergenic	-209201	CXCR4	CXCR4	NM_003467			CXCR4			NA
Interval_46	chr1	37759096	37759910	+	0	NA	Intergenic	Intergenic	132339	MIR4255	MIR4255	NR_036217			MIR4255			NA
Interval_40	chr1	33427775	33428869	+	0	NA	intron (RNF19B, intron 1 of 8)	-intron (RNF19B, intron 1 of 8)	2092	RNF19B	RNF19B	NM_001127361			RNF19B			NA
Interval_1264	chr3	12927427	12928749	+	0	NA	Intergenic	Intergenic	-46139	RPL32	RPL32	NM_001007073			RPL32			NA
Interval_342	chr11	26936539	26936812	+	0	NA	Intergenic	Intergenic	-78953	FIBIN	FIBIN	NM_203371			FIBIN			NA
Interval_953	chr19	49837231	49837516	+	0	NA	Intergenic	Intergenic	-1304	CD37	CD37	NM_001774			CD37			NA
Interval_791	chr17	56161918	56162189	+	0	NA	intron (DYNLL2, intron 1 of 2)	-intron (DYNLL2, intron 1 of 2)	1273	DYNLL2	DYNLL2	NM_080677			DYNLL2			NA
Interval_648	chr15	80997058	80997418	+	0	NA	intron (ABHD17C, intron 1 of 2)	-intron (ABHD17C, intron 1 of 2)	9586	ABHD17C	ABHD17C	NM_021214			ABHD17C			NA
Interval_1379	chr4	8534938	8535303	+	0	NA	Intergenic	Intergenic	-46844	GPR78	GPR78	NM_080819			GPR78			NA
Interval_1675	chr7	73177114	73177406	+	0	NA	Intergenic	Intergenic	7340	CLDN3	CLDN3	NM_001306			CLDN3			NA
Interval_95	chr1	113615121	113615488	+	0	NA	promoter-TSS (LRIG2)	-promoter-TSS (LRIG2)	420	LOC100996251	LOC100996251	NR_103777			LOC100996251			NA
Interval_683	chr16	11764336	11765013	+	0	NA	intron (SNN, intron 1 of 1)	-intron (SNN, intron 1 of 1)	2385	SNN	SNN	NM_003498			SNN			NA
Interval_920	chr19	23561842	23562705	+	0	NA	intron (ZNF91, intron 1 of 3)	-intron (ZNF91, intron 1 of 2)	16089	ZNF91	ZNF91	NM_001300951			ZNF91			NA
Interval_34	chr1	26129645	26129923	+	0	NA	intron (SEPN1, intron 3 of 12)	-intron (SEPN1, intron 3 of 12)	3117	SEPN1	SEPN1	NM_206926			SEPN1			NA
Interval_356	chr11	36471532	36472057	+	0	NA	intron (PRR5L, intron 6 of 6)	-intron (PRR5L, intron 7 of 8)	60069	TRAF6	TRAF6	NM_145803			TRAF6			NA
Interval_282	chr10	93395153	93395702	+	0	NA	Intergenic	Intergenic	-2569	PPP1R3C	PPP1R3C	NM_005398			PPP1R3C			NA
Interval_1465	chr5	95510904	95511374	+	0	NA	intron (LOC101929710, intron 1 of 4)	-intron (LOC101929710, intron 1 of 4)	96297	MIR583	MIR583	NR_030309			MIR583			NA
Interval_227	chr1	242108104	242108407	+	0	NA	Intergenic	Intergenic	-12814	BECN2	BECN2	NM_001290693			BECN2			NA
Interval_1506	chr5	172309045	172309431	+	0	NA	intron (ERGIC1, intron 1 of 9)	-intron (ERGIC1, intron 1 of 9)	48015	ERGIC1	ERGIC1	NM_001031711			ERGIC1			NA
Interval_122	chr1	154171221	154171578	+	0	NA	TTS (C1orf189)	-TTS (C1orf189)	-5180	MIR190B	MIR190B	NR_030600			MIR190B			NA
Interval_651	chr15	83477266	83477572	+	0	NA	promoter-TSS (WHAMM)	-promoter-TSS (WHAMM)	-961	WHAMM	WHAMM	NM_001080435			WHAMM			NA
Interval_1702	chr7	107531504	107531896	+	0	NA	exon (DLD, exon 1 of 14)	-exon (DLD, exon 1 of 14)	148	DLD	DLD	NM_000108			DLD			NA
Interval_1049	chr2	101557306	101558260	+	0	NA	intron (NPAS2, intron 5 of 20)	-intron (NPAS2, intron 5 of 20)	35840	LOC101927142	LOC101927142	NR_110213			LOC101927142			NA
Interval_1894	chr9	132517952	132518367	+	0	NA	Intergenic	Intergenic	-2815	PTGES	PTGES	NM_004878			PTGES			NA
Interval_303	chr10	121464173	121464480	+	0	NA	Intergenic	Intergenic	-21233	INPP5F	INPP5F	NM_001243194			INPP5F			NA
Interval_1229	chr22	23587540	23587862	+	0	NA	intron (BCR, intron 1 of 21)	-intron (BCR, intron 1 of 22)	-17253	FBXW4P1	FBXW4P1	NR_033408			FBXW4P1			NA
Interval_1834	chr9	33164008	33164517	+	0	NA	intron (B4GALT1, intron 1 of 5)	-intron (B4GALT1, intron 1 of 5)	-2684	B4GALT1-AS1	B4GALT1-AS1	NR_108109			B4GALT1-AS1			NA
Interval_1661	chr7	35839595	35840407	+	0	NA	promoter-TSS (SEPT7)	-promoter-TSS (SEPT7)	234	SEPT7-AS1	SEPT7-AS1	NR_120512			SEPT7-AS1			NA
Interval_922	chr19	24178836	24179433	+	0	NA	Intergenic	Intergenic	81450	ZNF726	ZNF726	NM_001244038			ZNF726			NA
Interval_403	chr11	118505197	118505558	+	0	NA	intron (PHLDB1, intron 10 of 23)	-intron (PHLDB1, intron 9 of 22)	-9341	MIR6716	MIR6716	NR_106773			MIR6716			NA
Interval_614	chr15	48933456	48934039	+	0	NA	intron (FBN1, intron 2 of 65)	-intron (FBN1, intron 2 of 65)	4238	FBN1	FBN1	NM_000138			FBN1			NA
Interval_768	chr17	40474842	40475457	+	0	NA	exon (STAT3, exon 20 of 24)	-exon (STAT3, exon 20 of 24)	35584	STAT5A	STAT5A	NM_001288718			STAT5A			NA
Interval_300	chr10	113308276	113308967	+	0	NA	Intergenic	Intergenic	471831	ADRA2A	ADRA2A	NM_000681			ADRA2A			NA
Interval_674	chr16	3221099	3221632	+	0	NA	Intergenic	Intergenic	-32882	OR1F1	OR1F1	NM_012360			OR1F1			NA
Interval_1368	chr3	195304588	195305073	+	0	NA	intron (APOD, intron 2 of 4)	-intron (APOD, intron 2 of 4)	6246	APOD	APOD	NM_001647			APOD			NA
Interval_1408	chr4	110482306	110482609	+	0	NA	intron (CCDC109B, intron 1 of 7)	-intron (CCDC109B, intron 1 of 7)	1102	CCDC109B	CCDC109B	NM_017918			CCDC109B			NA
Interval_1018	chr2	43520900	43521197	+	0	NA	intron (THADA, intron 29 of 35)	-intron (THADA, intron 31 of 37)	66698	LINC01126	LINC01126	NR_027251			LINC01126			NA
Interval_776	chr17	46026612	46027162	+	0	NA	TTS (PNPO)	-TTS (PNPO)	7998	PNPO	PNPO	NM_018129			PNPO			NA
Interval_1866	chr9	110008471	110008900	+	0	NA	Intergenic	Intergenic	-36832	RAD23B	RAD23B	NM_001244713			RAD23B			NA
Interval_203	chr1	228594496	228594809	+	0	NA	promoter-TSS (TRIM11)	-promoter-TSS (TRIM11)	-135	TRIM11	TRIM11	NM_145214			TRIM11			NA
Interval_1730	chr7	140770984	140771554	+	0	NA	Intergenic	Intergenic	-2763	TMEM178B	TMEM178B	NM_001195278			TMEM178B			NA
Interval_1624	chr6	170817000	170817304	+	0	NA	Intergenic	Intergenic	45265	PSMB1	PSMB1	NM_002793			PSMB1			NA
Interval_864	chr18	55883480	55883780	+	0	NA	intron (NEDD4L, intron 1 of 28)	-intron (NEDD4L, intron 2 of 30)	172020	NEDD4L	NEDD4L	NM_015277			NEDD4L			NA
Interval_544	chr14	68677434	68678038	+	0	NA	intron (RAD51B, intron 7 of 10)	-intron (RAD51B, intron 7 of 10)	391240	RAD51B	RAD51B	NM_133509			RAD51B			NA
Interval_1009	chr2	37470996	37471646	+	0	NA	intron (NDUFAF7, intron 7 of 9)	-intron (NDUFAF7, intron 5 of 7)	12547	NDUFAF7	NDUFAF7	NM_001083946			NDUFAF7			NA
Interval_1761	chr8	57913096	57913415	+	0	NA	Intergenic	Intergenic	-6825	IMPAD1	IMPAD1	NM_017813			IMPAD1			NA
Interval_274	chr10	71494294	71494740	+	0	NA	Intergenic	Intergenic	-67127	COL13A1	COL13A1	NM_001130103			COL13A1			NA
Interval_1684	chr7	93716872	93717469	+	0	NA	Intergenic	Intergenic	-83480	BET1	BET1	NM_005868			BET1			NA
Interval_820	chr17	74691169	74691681	+	0	NA	intron (MXRA7, intron 1 of 3)	-intron (MXRA7, intron 1 of 3)	-6456	MXRA7	MXRA7	NM_198530			MXRA7			NA
Interval_1213	chr21	43483392	43483685	+	0	NA	intron (UMODL1, intron 1 of 22)	-intron (UMODL1, intron 1 of 21)	-7888	UMODL1	UMODL1	NM_001004416			UMODL1			NA
Interval_1693	chr7	99942361	99942981	+	0	NA	intron (STAG3L5P-PVRIG2P-PILRB, intron 3 of 16)	-intron (STAG3L5P-PVRIG2P-PILRB, intron 3 of 17)	-7270	PVRIG2P	PVRIG2P	NR_103728			PVRIG2P			NA
Interval_1201	chr21	37362478	37362918	+	0	NA	intron (LOC101928269, intron 1 of 5)	-intron (LOC101928269, intron 1 of 5)	14267	LOC101928269	LOC101928269	NR_110418			LOC101928269			NA
Interval_1454	chr5	71610753	71611051	+	0	NA	intron (MRPS27, intron 1 of 10)	-intron (MRPS27, intron 1 of 11)	5182	MRPS27	MRPS27	NM_001286748			MRPS27			NA
Interval_90	chr1	101080593	101081887	+	0	NA	Intergenic	Intergenic	31320	LINC01349	LINC01349	NR_038914			LINC01349			NA
Interval_1886	chr9	128033922	128034196	+	0	NA	intron (GAPVD1, intron 2 of 27)	-intron (GAPVD1, intron 2 of 27)	9986	GAPVD1	GAPVD1	NM_001282680			GAPVD1			NA
Interval_621	chr15	56760723	56761046	+	0	NA	Intergenic	Intergenic	-3549	MNS1	MNS1	NM_018365			MNS1			NA
Interval_591	chr15	34394016	34394647	+	0	NA	promoter-TSS (EMC7)	-promoter-TSS (EMC7)	57	PGBD4	PGBD4	NM_152595			PGBD4			NA
Interval_1134	chr20	1415523	1415818	+	0	NA	Intergenic	Intergenic	32667	NSFL1C	NSFL1C	NM_001206736			NSFL1C			NA
Interval_149	chr1	168317545	168318041	+	0	NA	Intergenic	Intergenic	-26969	MIR557	MIR557	NR_030284			MIR557			NA
Interval_367	chr11	62153553	62154268	+	0	NA	intron (ASRGL1, intron 4 of 6)	-intron (ASRGL1, intron 4 of 6)	-32597	SCGB1A1	SCGB1A1	NM_003357			SCGB1A1			NA
Interval_1128	chr2	239778793	239779180	+	0	NA	intron (TWIST2, intron 1 of 1)	-intron (TWIST2, intron 1 of 1)	22313	TWIST2	TWIST2	NM_001271893			TWIST2			NA
Interval_1330	chr3	128822792	128823194	+	0	NA	intron (ISY1-RAB43, intron 11 of 12)	-intron (RAB43, intron 2 of 3)	17654	RAB43	RAB43	NM_001204883			RAB43			NA
Interval_1507	chr5	172631380	172631824	+	0	NA	Intergenic	Intergenic	30713	NKX2-5	NKX2-5	NM_004387			NKX2-5			NA
Interval_1181	chr20	55974366	55975084	+	0	NA	intron (RBM38, intron 3 of 3)	-intron (RBM38, intron 4 of 4)	8271	RBM38	RBM38	NM_001291780			RBM38			NA
Interval_1370	chr3	197462849	197463318	+	0	NA	intron (KIAA0226, intron 1 of 20)	-intron (KIAA0226, intron 1 of 20)	714	KIAA0226	KIAA0226	NM_001145642			KIAA0226			NA
Interval_28	chr1	23903540	23904112	+	0	NA	Intergenic	Intergenic	-17541	ID3	ID3	NM_002167			ID3			NA
Interval_1707	chr7	121776741	121777125	+	0	NA	intron (AASS, intron 1 of 23)	-intron (AASS, intron 1 of 23)	7411	AASS	AASS	NM_005763			AASS			NA
Interval_1681	chr7	90092634	90093067	+	0	NA	Intergenic	Intergenic	60202	CLDN12	CLDN12	NM_012129			CLDN12			NA
Interval_870	chr18	72873336	72874677	+	0	NA	Intergenic	Intergenic	47297	ZADH2	ZADH2	NM_175907			ZADH2			NA
Interval_1801	chr8	128313202	128313712	+	0	NA	intron (CASC8, intron 5 of 5)	-intron (CASC21, intron 1 of 3)	56575	CASC21	CASC21	NR_117099			CASC21			NA
Interval_1296	chr3	67022233	67022994	+	0	NA	Intergenic	Intergenic	-26114	KBTBD8	KBTBD8	NM_032505			KBTBD8			NA
Interval_52	chr1	39658851	39659264	+	0	NA	intron (MACF1, intron 1 of 92)	-intron (MACF1, intron 1 of 92)	109218	MACF1	MACF1	NM_012090			MACF1			NA
Interval_1426	chr4	154354459	154354938	+	0	NA	Intergenic	Intergenic	-32800	KIAA0922	KIAA0922	NM_015196			KIAA0922			NA
Interval_944	chr19	45306571	45306856	+	0	NA	Intergenic	Intergenic	-5603	BCAM	BCAM	NM_005581			BCAM			NA
Interval_547	chr14	72021914	72022772	+	0	NA	intron (SIPA1L1, intron 1 of 21)	-intron (SIPA1L1, intron 1 of 20)	26314	SIPA1L1	SIPA1L1	NM_001284246			SIPA1L1			NA
Interval_1265	chr3	12933334	12933733	+	0	NA	Intergenic	Intergenic	-51584	RPL32	RPL32	NM_001007073			RPL32			NA
Interval_1135	chr20	2496514	2496825	+	0	NA	intron (ZNF343, intron 1 of 6)	-intron (ZNF343, intron 1 of 6)	-6891	ZNF343	ZNF343	NM_001282495			ZNF343			NA
Interval_1195	chr21	34144183	34144494	+	0	NA	promoter-TSS (PAXBP1)	-promoter-TSS (PAXBP1)	-73	C21orf62-AS1	C21orf62-AS1	NR_024623			C21orf62-AS1			NA
Interval_516	chr14	21100923	21101374	+	0	NA	Intergenic	Intergenic	8702	OR6S1	OR6S1	NM_001001968			OR6S1			NA
Interval_339	chr11	22647214	22647680	+	0	NA	promoter-TSS (FANCF)	-promoter-TSS (FANCF)	-60	FANCF	FANCF	NM_022725			FANCF			NA
Interval_507	chr13	105792276	105792583	+	0	NA	Intergenic	Intergenic	-326136	DAOA	DAOA	NM_001161812			DAOA			NA
Interval_1243	chr22	36635451	36635795	+	0	NA	promoter-TSS (APOL2)	-promoter-TSS (APOL2)	377	APOL2	APOL2	NM_145637			APOL2			NA
Interval_842	chr18	9117284	9117703	+	0	NA	intron (NDUFV2, intron 1 of 7)	-intron (NDUFV2, intron 1 of 7)	14865	NDUFV2	NDUFV2	NM_021074			NDUFV2			NA
Interval_175	chr1	199901033	199901441	+	0	NA	Intergenic	Intergenic	-95493	NR5A2	NR5A2	NM_001276464			NR5A2			NA
Interval_1218	chr21	45357826	45359361	+	0	NA	intron (AGPAT3, intron 1 of 8)	-intron (AGPAT3, intron 1 of 8)	73477	AGPAT3	AGPAT3	NM_020132			AGPAT3			NA
Interval_388	chr11	74983738	74984060	+	0	NA	intron (ARRB1, intron 12 of 15)	-intron (ARRB1, intron 12 of 15)	31949	TPBGL	TPBGL	NM_001195528			TPBGL			NA
Interval_1746	chr8	11298166	11298531	+	0	NA	intron (FAM167A, intron 2 of 2)	-intron (FAM167A, intron 2 of 2)	25928	FAM167A	FAM167A	NM_053279			FAM167A			NA
Interval_1850	chr9	86594076	86594747	+	0	NA	intron (HNRNPK, intron 1 of 16)	-intron (HNRNPK, intron 1 of 16)	773	HNRNPK	HNRNPK	NM_031262			HNRNPK			NA
Interval_731	chr16	85532201	85532520	+	0	NA	Intergenic	Intergenic	-114482	GSE1	GSE1	NM_014615			GSE1			NA
Interval_138	chr1	161067424	161068105	+	0	NA	promoter-TSS (KLHDC9)	-promoter-TSS (KLHDC9)	-387	KLHDC9	KLHDC9	NM_152366			KLHDC9			NA
Interval_961	chr19	51306727	51307114	+	0	NA	exon (C19orf48, exon 2 of 6)	-exon (C19orf48, exon 2 of 6)	1190	C19orf48	C19orf48	NM_001290154			C19orf48			NA
Interval_1209	chr21	40139111	40139734	+	0	NA	intron (LINC00114, intron 1 of 6)	-intron (LINC00114, intron 1 of 6)	-15241	LINC00114	LINC00114	NR_027065			LINC00114			NA
Interval_259	chr10	22725980	22726634	+	0	NA	exon (LOC100499489, exon 1 of 1)	-exon (LOC100499489, exon 1 of 1)	551	LOC100499489	LOC100499489	NR_036533			LOC100499489			NA
Interval_747	chr17	21849811	21850153	+	0	NA	Intergenic	Intergenic	24612	FAM27L	FAM27L	NR_028336			FAM27L			NA
Interval_571	chr14	96029574	96030035	+	0	NA	Intergenic	Intergenic	28481	GLRX5	GLRX5	NM_016417			GLRX5			NA
Interval_1536	chr6	24721504	24721919	+	0	NA	Intergenic	Intergenic	-2308	C6orf62	C6orf62	NM_030939			C6orf62			NA
Interval_1501	chr5	162101449	162101728	+	0	NA	Intergenic	Intergenic	606940	GABRG2	GABRG2	NM_000816			GABRG2			NA
Interval_1372	chr4	2698051	2698420	+	0	NA	exon (FAM193A, exon 16 of 20)	-exon (FAM193A, exon 16 of 20)	59868	TNIP2	TNIP2	NM_024309			TNIP2			NA
Interval_862	chr18	52793363	52794162	+	0	NA	Intergenic	Intergenic	-2225	LOC101927229	LOC101927229	NR_110743			LOC101927229			NA
Interval_1700	chr7	105711975	105712279	+	0	NA	Intergenic	Intergenic	40664	SYPL1	SYPL1	NM_006754			SYPL1			NA
Interval_1829	chr9	22033072	22033469	+	0	NA	intron (CDKN2B-AS1, intron 3 of 12)	-intron (CDKN2B-AS1, intron 3 of 18)	-23958	CDKN2B	CDKN2B	NM_078487			CDKN2B			NA
Interval_783	chr17	47592337	47593016	+	0	NA	TTS (NGFR)	-TTS (NGFR)	4497	MIR6165	MIR6165	NR_106751			MIR6165			NA
Interval_1286	chr3	45957226	45957598	+	0	NA	promoter-TSS (LZTFL1)	-promoter-TSS (LZTFL1)	-27561	CXCR6	CXCR6	NM_006564			CXCR6			NA
Interval_235	chr10	565538	565963	+	0	NA	intron (DIP2C, intron 1 of 36)	-intron (DIP2C, intron 1 of 36)	121968	MIR5699	MIR5699	NR_049884			MIR5699			NA
Interval_243	chr10	7295579	7295999	+	0	NA	intron (SFMBT2, intron 7 of 20)	-intron (SFMBT2, intron 7 of 20)	157659	SFMBT2	SFMBT2	NM_001029880			SFMBT2			NA
Interval_355	chr11	35939092	35939386	+	0	NA	Intergenic	Intergenic	-26292	LDLRAD3	LDLRAD3	NM_001304263			LDLRAD3			NA
Interval_330	chr11	16285384	16285672	+	0	NA	intron (SOX6, intron 3 of 15)	-intron (SOX6, intron 3 of 14)	212407	SOX6	SOX6	NM_033326			SOX6			NA
Interval_1108	chr2	209130972	209131438	+	0	NA	intron (PIKFYVE, intron 1 of 9)	-intron (PIKFYVE, intron 1 of 11)	214	PIKFYVE	PIKFYVE	NM_015040			PIKFYVE			NA
Interval_1654	chr7	29469956	29470458	+	0	NA	intron (CHN2, intron 6 of 12)	-intron (CHN2, intron 7 of 13)	-49121	CHN2	CHN2	NM_001039936			CHN2			NA
Interval_1028	chr2	62081648	62082084	+	0	NA	promoter-TSS (FAM161A)	-promoter-TSS (FAM161A)	-588	FAM161A	FAM161A	NM_001201543			FAM161A			NA
Interval_1581	chr6	62371420	62371714	+	0	NA	Intergenic	Intergenic	87559	MTRNR2L9	MTRNR2L9	NM_001190706			MTRNR2L9			NA
Interval_744	chr17	11851864	11852247	+	0	NA	intron (DNAH9, intron 13 of 14)	-intron (DNAH9, intron 67 of 68)	48634	ZNF18	ZNF18	NM_001303282			ZNF18			NA
Interval_448	chr12	94955781	94956402	+	0	NA	TTS (MIR5700)	-TTS (MIR5700)	526	MIR5700	MIR5700	NR_049885			MIR5700			NA
Interval_409	chr12	215282	215670	+	0	NA	intron (IQSEC3, intron 2 of 12)	-intron (IQSEC3, intron 2 of 13)	28934	IQSEC3	IQSEC3	NM_001170738			IQSEC3			NA
Interval_655	chr15	85524130	85524656	+	0	NA	promoter-TSS (PDE8A)	-promoter-TSS (PDE8A)	-812	PDE8A	PDE8A	NM_173454			PDE8A			NA
Interval_1598	chr6	134287985	134288290	+	0	NA	intron (TBPL1, intron 1 of 6)	-intron (TBPL1, intron 1 of 6)	13836	TBPL1	TBPL1	NM_004865			TBPL1			NA
Interval_123	chr1	154326319	154326755	+	0	NA	Intergenic	Intergenic	26261	ATP8B2	ATP8B2	NM_020452			ATP8B2			NA
Interval_1613	chr6	155497472	155497781	+	0	NA	intron (TIAM2, intron 8 of 25)	-intron (TIAM2, intron 8 of 25)	86203	TIAM2	TIAM2	NM_001010927			TIAM2			NA
Interval_1021	chr2	47144796	47145257	+	0	NA	intron (TTC7A, intron 2 of 20)	-intron (MCFD2, intron 1 of 3)	-2019	MCFD2	MCFD2	NM_001171511			MCFD2			NA
Interval_1230	chr22	23753578	23753963	+	0	NA	Intergenic	Intergenic	-8971	ZDHHC8P1	ZDHHC8P1	NR_003950			ZDHHC8P1			NA
Interval_295	chr10	111897889	111898345	+	0	NA	Intergenic	Intergenic	-69246	MXI1	MXI1	NM_005962			MXI1			NA
Interval_1904	chr9	139776244	139776562	+	0	NA	Intergenic	Intergenic	-4562	TRAF2	TRAF2	NM_021138			TRAF2			NA
Interval_1210	chr21	42589123	42589415	+	0	NA	intron (BACE2, intron 1 of 7)	-intron (BACE2, intron 1 of 8)	-32103	PLAC4	PLAC4	NM_182832			PLAC4			NA
Interval_153	chr1	172396468	172396744	+	0	NA	intron (C1orf105, intron 1 of 6)	-intron (C1orf105, intron 1 of 6)	6778	C1orf105	C1orf105	NM_139240			C1orf105			NA
Interval_406	chr11	118744586	118744890	+	0	NA	Intergenic	Intergenic	-19363	CXCR5	CXCR5	NM_001716			CXCR5			NA
Interval_513	chr13	114164022	114164500	+	0	NA	intron (TMCO3, intron 6 of 12)	-intron (TMCO3, intron 6 of 12)	18953	TMCO3	TMCO3	NM_017905			TMCO3			NA
Interval_218	chr1	235114262	235114566	+	0	NA	Intergenic	Intergenic	-14668	LOC101927851	LOC101927851	NR_125945			LOC101927851			NA
Interval_995	chr2	24943051	24943693	+	0	NA	intron (NCOA1, intron 12 of 20)	-intron (NCOA1, intron 12 of 20)	72879	PTRHD1	PTRHD1	NM_001013663			PTRHD1			NA
Interval_957	chr19	50222201	50222503	+	0	NA	Intergenic	Intergenic	27987	CPT1C	CPT1C	NM_001199753			CPT1C			NA
Interval_567	chr14	93552582	93552858	+	0	NA	intron (ITPK1, intron 2 of 10)	-intron (ITPK1, intron 2 of 10)	18923	ITPK1-AS1	ITPK1-AS1	NR_002808			ITPK1-AS1			NA
Interval_237	chr10	5726490	5727355	+	0	NA	exon (FAM208B, exon 1 of 21)	-exon (FAM208B, exon 1 of 21)	121	FAM208B	FAM208B	NM_017782			FAM208B			NA
Interval_197	chr1	214612932	214613310	+	0	NA	intron (PTPN14, intron 3 of 18)	-intron (PTPN14, intron 3 of 18)	111903	PTPN14	PTPN14	NM_005401			PTPN14			NA
Interval_347	chr11	30453214	30453488	+	0	NA	intron (MPPED2, intron 3 of 5)	-intron (MPPED2, intron 4 of 6)	108705	ARL14EP	ARL14EP	NM_152316			ARL14EP			NA
Interval_1760	chr8	56919138	56919467	+	0	NA	intron (LYN, intron 12 of 12)	-intron (LYN, intron 12 of 12)	67158	SNORD54	SNORD54	NR_002437			SNORD54			NA
Interval_1458	chr5	76345617	76346134	+	0	NA	intron (AGGF1, intron 8 of 13)	-intron (AGGF1, intron 8 of 13)	19665	AGGF1	AGGF1	NM_018046			AGGF1			NA
Interval_216	chr1	234908093	234908815	+	0	NA	Intergenic	Intergenic	48665	LINC01132	LINC01132	NR_038856			LINC01132			NA
Interval_328	chr11	13340501	13340849	+	0	NA	intron (ARNTL, intron 2 of 19)	-intron (ARNTL, intron 2 of 18)	41401	ARNTL	ARNTL	NM_001178			ARNTL			NA
Interval_1141	chr20	12173695	12173988	+	0	NA	Intergenic	Intergenic	302470	BTBD3	BTBD3	NM_181443			BTBD3			NA
Interval_1497	chr5	154140312	154140694	+	0	NA	intron (LARP1, intron 1 of 18)	-intron (LARP1, intron 1 of 18)	48041	LARP1	LARP1	NM_015315			LARP1			NA
Interval_1551	chr6	28510565	28510852	+	0	NA	Intergenic	Intergenic	16919	GPX5	GPX5	NM_001509_1			GPX5			NA
Interval_900	chr19	12948584	12949212	+	0	NA	promoter-TSS (MAST1)	-promoter-TSS (MAST1)	-361	MAST1	MAST1	NM_014975			MAST1			NA
Interval_869	chr18	66382420	66382763	+	0	NA	promoter-TSS (CCDC102B)	-promoter-TSS (CCDC102B)	-238	TMX3	TMX3	NM_019022			TMX3			NA
Interval_1923	chrX	117554394	117554714	+	0	NA	intron (WDR44, intron 12 of 19)	-intron (WDR44, intron 12 of 19)	34197	MIR1277	MIR1277	NR_031685			MIR1277			NA
Interval_1716	chr7	135253836	135254239	+	0	NA	intron (NUP205, intron 1 of 42)	-intron (NUP205, intron 1 of 42)	11375	NUP205	NUP205	NM_015135			NUP205			NA
Interval_211	chr1	232594995	232595285	+	0	NA	intron (SIPA1L2, intron 8 of 20)	-intron (SIPA1L2, intron 8 of 20)	56103	SIPA1L2	SIPA1L2	NM_020808			SIPA1L2			NA
Interval_1306	chr3	101395799	101396150	+	0	NA	promoter-TSS (ZBTB11)	-promoter-TSS (ZBTB11)	14	ZBTB11	ZBTB11	NM_014415			ZBTB11			NA
Interval_1559	chr6	32821966	32822618	+	0	NA	promoter-TSS (TAP1)	-promoter-TSS (TAP1)	354	PSMB9	PSMB9	NM_002800_2			PSMB9			NA
Interval_1528	chr6	11141308	11141623	+	0	NA	Intergenic	Intergenic	-29394	ERVFRD-1	ERVFRD-1	NM_207582			ERVFRD-1			NA
Interval_872	chr18	74309020	74309377	+	0	NA	Intergenic	Intergenic	-22536	LINC00683	LINC00683	NR_120419			LINC00683			NA
Interval_1014	chr2	38950152	38950673	+	0	NA	intron (GALM, intron 4 of 6)	-intron (GALM, intron 4 of 6)	28224	SRSF7	SRSF7	NM_001031684			SRSF7			NA
Interval_473	chr12	121036727	121037406	+	0	NA	Intergenic	Intergenic	-17865	POP5	POP5	NM_198202			POP5			NA
Interval_1722	chr7	137855890	137857130	+	0	NA	Intergenic	Intergenic	48006	MIR4468	MIR4468	NR_039678			MIR4468			NA
Interval_956	chr19	50220481	50221465	+	0	NA	Intergenic	Intergenic	26608	CPT1C	CPT1C	NM_001199753			CPT1C			NA
Interval_662	chr15	91200839	91201571	+	0	NA	intron (CRTC3-AS1, intron 2 of 3)	-intron (CRTC3-AS1, intron 2 of 3)	-2260	LINC01585	LINC01585	NR_120371			LINC01585			NA
Interval_30	chr1	24084124	24084505	+	0	NA	intron (TCEB3, intron 10 of 10)	-intron (TCEB3, intron 10 of 10)	14458	TCEB3	TCEB3	NM_003198			TCEB3			NA
Interval_1638	chr7	20240886	20241468	+	0	NA	intron (MACC1, intron 1 of 6)	-intron (MACC1, intron 1 of 6)	15836	MACC1	MACC1	NM_182762			MACC1			NA
Interval_53	chr1	40618572	40619116	+	0	NA	Intergenic	Intergenic	-8197	RLF	RLF	NM_012421			RLF			NA
Interval_1807	chr8	132828514	132828816	+	0	NA	Intergenic	Intergenic	-87691	EFR3A	EFR3A	NM_015137			EFR3A			NA
