PeakID (cmd=annotatePeaks.pl anti-GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_9547	chr3	177077195	177077460	+	0	NA	Intergenic	Intergenic	65097	LINC00501	LINC00501	NR_047465			LINC00501			NA
Interval_6979	chr2	83882786	83882945	+	0	NA	Intergenic	Intergenic	-634941	FUNDC2P2	FUNDC2P2	NR_003663			FUNDC2P2			NA
Interval_4533	chr15	38943740	38944168	+	0	NA	Intergenic	Intergenic	-44845	C15orf53	C15orf53	NM_207444			C15orf53			NA
Interval_4917	chr15	99198289	99198584	+	0	NA	intron (IGF1R, intron 1 of 20)	-intron (IGF1R, intron 1 of 20)	-3986	IRAIN	IRAIN	NR_126453			IRAIN			NA
Interval_10183	chr4	111115003	111115197	+	0	NA	intron (ELOVL6, intron 1 of 3)	-intron (ELOVL6, intron 2 of 4)	4720	ELOVL6	ELOVL6	NM_001130721			ELOVL6			NA
Interval_3216	chr12	76152795	76152954	+	0	NA	Intergenic	Intergenic	-247456	KRR1	KRR1	NM_007043			KRR1			NA
Interval_912	chr1	172974680	172975002	+	0	NA	Intergenic	Intergenic	45262	TNFSF18	TNFSF18	NM_005092			TNFSF18			NA
Interval_8482	chr22	32596870	32597084	+	0	NA	intron (RFPL2, intron 2 of 4)	-intron (RFPL2, intron 2 of 4)	-7511	RFPL2	RFPL2	NM_001159545			RFPL2			NA
Interval_7451	chr2	175559741	175559942	+	0	NA	Intergenic	Intergenic	-60534	WIPF1	WIPF1	NM_001077269			WIPF1			NA
Interval_88	chr1	17521559	17521861	+	0	NA	Intergenic	Intergenic	-9911	PADI1	PADI1	NM_013358			PADI1			NA
Interval_14380	chrX	42563783	42564289	+	0	NA	Intergenic	Intergenic	73450	PPP1R2P9	PPP1R2P9	NR_002191			PPP1R2P9			NA
Interval_9966	chr4	71625328	71625600	+	0	NA	intron (RUFY3, intron 2 of 13)	-intron (RUFY3, intron 1 of 17)	37905	RUFY3	RUFY3	NM_001037442			RUFY3			NA
Interval_2910	chr12	21544908	21545067	+	0	NA	intron (SLCO1A2, intron 1 of 15)	-intron (SLCO1A2, intron 1 of 15)	3384	SLCO1A2	SLCO1A2	NM_134431			SLCO1A2			NA
Interval_12675	chr7	86657919	86658128	+	0	NA	intron (KIAA1324L, intron 1 of 21)	-intron (KIAA1324L, intron 1 of 21)	-62732	KIAA1324L	KIAA1324L	NM_001142749			KIAA1324L			NA
Interval_9402	chr3	148653928	148654094	+	0	NA	Intergenic	Intergenic	-55184	GYG1	GYG1	NM_001184721			GYG1			NA
Interval_11150	chr5	141809042	141809306	+	0	NA	intron (LOC101926941, intron 3 of 3)	-intron (LOC101926941, intron 3 of 3)	104316	LOC101926941	LOC101926941	NR_120664			LOC101926941			NA
Interval_7665	chr2	210338707	210338870	+	0	NA	intron (MAP2, intron 1 of 14)	-intron (MAP2, intron 1 of 14)	-105615	MAP2	MAP2	NM_031845			MAP2			NA
Interval_10765	chr5	68179951	68180506	+	0	NA	Intergenic	Intergenic	145526	LOC101928885	LOC101928885	NR_130778			LOC101928885			NA
Interval_6897	chr2	64936079	64936304	+	0	NA	Intergenic	Intergenic	-55145	SERTAD2	SERTAD2	NM_014755			SERTAD2			NA
Interval_11882	chr6	94710237	94710396	+	0	NA	Intergenic	Intergenic	293515	TSG1	TSG1	NR_015362			TSG1			NA
Interval_7219	chr2	131863477	131863803	+	0	NA	intron (PLEKHB2, intron 1 of 6)	-intron (PLEKHB2, intron 1 of 7)	1220	PLEKHB2	PLEKHB2	NM_001309451			PLEKHB2			NA
Interval_8805	chr3	31112875	31113022	+	0	NA	Intergenic	Intergenic	90331	MIR466	MIR466	NR_130459			MIR466			NA
Interval_13206	chr8	43242835	43242994	+	0	NA	Intergenic	Intergenic	95329	POTEA	POTEA	NM_001002920			POTEA			NA
Interval_7540	chr2	191888053	191888416	+	0	NA	Intergenic	Intergenic	-9258	STAT1	STAT1	NM_139266			STAT1			NA
Interval_3544	chr13	24696742	24697030	+	0	NA	intron (SPATA13, intron 3 of 14)	-intron (SPATA13, intron 3 of 14)	-39669	MIR2276	MIR2276	NR_031753			MIR2276			NA
Interval_6854	chr2	59541619	59541771	+	0	NA	Intergenic	Intergenic	96852	LOC101927285	LOC101927285	NR_110219			LOC101927285			NA
Interval_8055	chr20	42840016	42840245	+	0	NA	promoter-TSS (OSER1)	-promoter-TSS (OSER1)	530	OSER1-AS1	OSER1-AS1	NR_038339			OSER1-AS1			NA
Interval_8438	chr22	26878263	26878438	+	0	NA	intron (HPS4, intron 1 of 13)	-intron (HPS4, intron 1 of 13)	-1500	SRRD	SRRD	NM_001013694			SRRD			NA
Interval_10629	chr5	40429645	40429836	+	0	NA	Intergenic	Intergenic	-250292	PTGER4	PTGER4	NM_000958			PTGER4			NA
Interval_5619	chr17	46969662	46969841	+	0	NA	promoter-TSS (ATP5G1)	-promoter-TSS (ATP5G1)	-397	ATP5G1	ATP5G1	NM_001002027			ATP5G1			NA
Interval_10310	chr4	142841990	142842275	+	0	NA	Intergenic	Intergenic	284383	IL15	IL15	NM_000585			IL15			NA
Interval_3482	chr12	125368122	125368325	+	0	NA	Intergenic	Intergenic	-19704	SCARB1	SCARB1	NM_005505			SCARB1			NA
Interval_4339	chr14	92463360	92463507	+	0	NA	intron (TRIP11, intron 13 of 20)	-intron (TRIP11, intron 13 of 20)	42970	TRIP11	TRIP11	NM_004239			TRIP11			NA
Interval_2248	chr11	35238455	35238874	+	0	NA	intron (CD44, intron 6 of 8)	-intron (CD44, intron 15 of 17)	78247	CD44	CD44	NM_000610			CD44			NA
Interval_4506	chr15	33418108	33418411	+	0	NA	intron (FMN1, intron 4 of 20)	-intron (FMN1, intron 4 of 20)	68675	FMN1	FMN1	NM_001277313			FMN1			NA
Interval_12109	chr6	138322991	138323201	+	0	NA	Intergenic	Intergenic	105564	PERP	PERP	NM_022121			PERP			NA
Interval_300	chr1	53397221	53397439	+	0	NA	intron (SCP2, intron 1 of 14)	-intron (SCP2, intron 1 of 10)	2984	MIR1273F	MIR1273F	NR_039971			MIR1273F			NA
Interval_6841	chr2	57777109	57777279	+	0	NA	Intergenic	Intergenic	-496583	VRK2	VRK2	NM_001288839			VRK2			NA
Interval_5281	chr16	81752809	81753023	+	0	NA	Intergenic	Intergenic	53957	LOC100129617	LOC100129617	NR_045112			LOC100129617			NA
Interval_5725	chr17	63390750	63391029	+	0	NA	Intergenic	Intergenic	-62770	CRAT40	CRAT40	NR_131984			CRAT40			NA
Interval_2865	chr12	12595104	12595561	+	0	NA	intron (LOH12CR1, intron 3 of 3)	-intron (LOH12CR1, intron 3 of 3)	85319	LOH12CR1	LOH12CR1	NM_058169			LOH12CR1			NA
Interval_4109	chr14	54626962	54627280	+	0	NA	Intergenic	Intergenic	-205851	BMP4	BMP4	NM_130850			BMP4			NA
Interval_3225	chr12	79205467	79205630	+	0	NA	Intergenic	Intergenic	-52901	SYT1	SYT1	NM_001291901			SYT1			NA
Interval_1088	chr1	203378861	203379031	+	0	NA	Intergenic	Intergenic	-58389	FMOD	FMOD	NR_103757			FMOD			NA
Interval_4458	chr14	107281222	107281494	+	0	NA	Intergenic	Intergenic	-22144	MIR5195	MIR5195	NR_049827			MIR5195			NA
Interval_13465	chr8	107968532	107968691	+	0	NA	Intergenic	Intergenic	-186139	ABRA	ABRA	NM_139166			ABRA			NA
Interval_8257	chr21	35459266	35459546	+	0	NA	intron (MRPS6, intron 1 of 2)	-intron (SLC5A3, intron 1 of 1)	13583	MRPS6	MRPS6	NM_032476			MRPS6			NA
Interval_13381	chr8	94654046	94654226	+	0	NA	intron (LINC00535, intron 5 of 10)	-intron (LINC00535, intron 5 of 10)	58525	LINC00535	LINC00535	NR_033858			LINC00535			NA
Interval_6824	chr2	54932372	54932553	+	0	NA	Intergenic	Intergenic	-19687	EML6	EML6	NM_001039753			EML6			NA
Interval_9995	chr4	78067987	78068136	+	0	NA	Intergenic	Intergenic	-10296	CCNG2	CCNG2	NM_004354			CCNG2			NA
Interval_3692	chr13	49025479	49025747	+	0	NA	intron (RB1, intron 17 of 26)	-intron (RB1, intron 17 of 26)	-6773	LPAR6	LPAR6	NM_005767			LPAR6			NA
Interval_4093	chr14	52094079	52094251	+	0	NA	intron (FRMD6, intron 2 of 14)	-intron (FRMD6, intron 2 of 14)	24297	FRMD6-AS1	FRMD6-AS1	NR_037676			FRMD6-AS1			NA
Interval_3284	chr12	94135685	94135834	+	0	NA	intron (CRADD, intron 2 of 2)	-intron (CRADD, intron 2 of 2)	-4160	LOC101928731	LOC101928731	NR_110092			LOC101928731			NA
Interval_11981	chr6	114176003	114176282	+	0	NA	Intergenic	Intergenic	-2372	MARCKS	MARCKS	NM_002356			MARCKS			NA
Interval_9820	chr4	25205929	25206158	+	0	NA	Intergenic	Intergenic	-29610	PI4K2B	PI4K2B	NM_018323			PI4K2B			NA
Interval_11360	chr6	3318536	3318695	+	0	NA	intron (SLC22A23, intron 5 of 10)	-intron (SLC22A23, intron 4 of 9)	59453	PSMG4	PSMG4	NM_001128592			PSMG4			NA
Interval_11952	chr6	110039349	110039508	+	0	NA	intron (FIG4, intron 3 of 22)	-intron (FIG4, intron 3 of 22)	27004	FIG4	FIG4	NM_014845			FIG4			NA
Interval_6117	chr18	55196403	55196562	+	0	NA	Intergenic	Intergenic	57487	FECH	FECH	NM_000140			FECH			NA
Interval_9592	chr3	183570613	183570786	+	0	NA	intron (PARL, intron 4 of 9)	-intron (PARL, intron 4 of 8)	-27306	MAP6D1	MAP6D1	NM_024871			MAP6D1			NA
Interval_12255	chr6	159107999	159108233	+	0	NA	intron (SYTL3, intron 6 of 15)	-intron (SYTL3, intron 7 of 16)	37070	SYTL3	SYTL3	NM_001242394			SYTL3			NA
Interval_11356	chr6	2984995	2985196	+	0	NA	Intergenic	Intergenic	-3106	LINC01011	LINC01011	NR_026856			LINC01011			NA
Interval_5428	chr17	12933732	12934021	+	0	NA	Intergenic	Intergenic	-12495	ELAC2	ELAC2	NM_001165962			ELAC2			NA
Interval_121	chr1	24525854	24526247	+	0	NA	promoter-TSS (LOC284632)	-promoter-TSS (LOC284632)	-680	LOC284632	LOC284632	NR_027087			LOC284632			NA
Interval_6182	chr18	72271766	72271913	+	0	NA	Intergenic	Intergenic	-6768	LINC00909	LINC00909	NR_024484			LINC00909			NA
Interval_756	chr1	154971634	154972073	+	0	NA	Intergenic	Intergenic	-3253	ZBTB7B	ZBTB7B	NM_001252406			ZBTB7B			NA
Interval_1485	chr10	12545413	12545706	+	0	NA	intron (CAMK1D, intron 1 of 10)	-intron (CAMK1D, intron 1 of 9)	-75193	MIR4480	MIR4480	NR_039700			MIR4480			NA
Interval_6266	chr19	10400286	10400455	+	0	NA	promoter-TSS (ICAM5)	-promoter-TSS (ICAM5)	-285	ICAM5	ICAM5	NM_003259			ICAM5			NA
Interval_11518	chr6	25544488	25544647	+	0	NA	intron (LRRC16A, intron 26 of 36)	-intron (LRRC16A, intron 26 of 36)	-107862	SCGN	SCGN	NM_006998			SCGN			NA
Interval_13055	chr8	11660738	11660927	+	0	NA	exon (FDFT1, exon 2 of 9)	-exon (FDFT1, exon 2 of 9)	712	FDFT1	FDFT1	NM_001287748			FDFT1			NA
Interval_667	chr1	116260699	116261033	+	0	NA	intron (CASQ2, intron 7 of 10)	-intron (CASQ2, intron 7 of 10)	50560	CASQ2	CASQ2	NM_001232			CASQ2			NA
Interval_6193	chr18	74225704	74225863	+	0	NA	Intergenic	Intergenic	-14829	LINC00908	LINC00908	NR_015417			LINC00908			NA
Interval_13816	chr9	31089308	31089489	+	0	NA	Intergenic	Intergenic	-680946	LINC01242	LINC01242	NR_046204			LINC01242			NA
Interval_10955	chr5	106741303	106741462	+	0	NA	intron (EFNA5, intron 2 of 4)	-intron (EFNA5, intron 2 of 4)	265214	EFNA5	EFNA5	NM_001962			EFNA5			NA
Interval_12737	chr7	104875092	104875308	+	0	NA	intron (SRPK2, intron 2 of 15)	-intron (SRPK2, intron 3 of 16)	154177	SRPK2	SRPK2	NM_182692			SRPK2			NA
Interval_12726	chr7	101500349	101500610	+	0	NA	intron (CUX1, intron 1 of 23)	-intron (CUX1, intron 1 of 23)	39597	CUX1	CUX1	NM_001913			CUX1			NA
Interval_2594	chr11	111629747	111629968	+	0	NA	intron (PPP2R1B, intron 3 of 12)	-intron (PPP2R1B, intron 5 of 13)	7312	PPP2R1B	PPP2R1B	NM_181700			PPP2R1B			NA
Interval_7453	chr2	175761363	175761590	+	0	NA	intron (CHN1, intron 5 of 12)	-intron (CHN1, intron 6 of 12)	108631	CHN1	CHN1	NM_001025201			CHN1			NA
Interval_10085	chr4	95937651	95937832	+	0	NA	intron (BMPR1B, intron 1 of 10)	-intron (BMPR1B, intron 3 of 12)	-74901	BMPR1B	BMPR1B	NM_001256793			BMPR1B			NA
Interval_8080	chr20	46982574	46982856	+	0	NA	Intergenic	Intergenic	-5939	LINC00494	LINC00494	NR_026958			LINC00494			NA
Interval_8948	chr3	46587364	46587606	+	0	NA	intron (LRRC2, intron 2 of 8)	-intron (LRRC2, intron 2 of 8)	-11403	LRRC2-AS1	LRRC2-AS1	NR_073385			LRRC2-AS1			NA
Interval_289	chr1	51584595	51584863	+	0	NA	intron (C1orf185, intron 3 of 4)	-intron (C1orf185, intron 3 of 4)	16823	C1orf185	C1orf185	NM_001136508			C1orf185			NA
Interval_6214	chr19	1920233	1920451	+	0	NA	intron (SCAMP4, intron 5 of 6)	-intron (SCAMP4, intron 5 of 6)	14969	SCAMP4	SCAMP4	NM_079834			SCAMP4			NA
Interval_1782	chr10	74045060	74045419	+	0	NA	Intergenic	Intergenic	11562	DDIT4	DDIT4	NM_019058			DDIT4			NA
Interval_13868	chr9	72449612	72449784	+	0	NA	intron (C9orf135, intron 1 of 2)	-intron (C9orf135, intron 1 of 5)	13977	C9orf135	C9orf135	NM_001308085			C9orf135			NA
Interval_9409	chr3	149606146	149606305	+	0	NA	intron (RNF13, intron 4 of 9)	-intron (RNF13, intron 5 of 10)	75750	RNF13	RNF13	NM_007282			RNF13			NA
Interval_7105	chr2	105377880	105378148	+	0	NA	Intergenic	Intergenic	-3837	LINC01114	LINC01114	NR_038231			LINC01114			NA
Interval_6617	chr2	24463414	24463573	+	0	NA	intron (ITSN2, intron 29 of 29)	-intron (ITSN2, intron 29 of 39)	65581	FAM228A	FAM228A	NM_001040710			FAM228A			NA
Interval_13976	chr9	92116842	92117299	+	0	NA	Intergenic	Intergenic	-22459	SEMA4D	SEMA4D	NM_001142287			SEMA4D			NA
Interval_6238	chr19	6460676	6461065	+	0	NA	Intergenic	Intergenic	-1089	SLC25A23	SLC25A23	NM_024103			SLC25A23			NA
Interval_5685	chr17	56442933	56443092	+	0	NA	intron (RNF43, intron 3 of 9)	-intron (RNF43, intron 3 of 9)	-13413	SUPT4H1	SUPT4H1	NM_003168			SUPT4H1			NA
Interval_9578	chr3	181192169	181192338	+	0	NA	intron (SOX2-OT, intron 2 of 4)	-intron (SOX2-OT, intron 3 of 7)	-31979	LOC102724604	LOC102724604	NR_125407			LOC102724604			NA
Interval_13821	chr9	32572186	32572429	+	0	NA	intron (NDUFB6, intron 1 of 2)	-intron (NDUFB6, intron 1 of 2)	875	NDUFB6	NDUFB6	NM_182739			NDUFB6			NA
Interval_1848	chr10	85363564	85363711	+	0	NA	Intergenic	Intergenic	-535548	GHITM	GHITM	NM_014394			GHITM			NA
Interval_3071	chr12	51414324	51414545	+	0	NA	intron (SLC11A2, intron 1 of 15)	-intron (SLC11A2, intron 1 of 15)	5765	SLC11A2	SLC11A2	NM_001174125			SLC11A2			NA
Interval_8176	chr21	15922659	15922941	+	0	NA	intron (SAMSN1, intron 2 of 8)	-intron (SAMSN1, intron 2 of 8)	-4119	SAMSN1	SAMSN1	NM_001256370			SAMSN1			NA
Interval_8309	chr21	43118857	43119055	+	0	NA	Intergenic	Intergenic	16979	LINC00479	LINC00479	NR_027272			LINC00479			NA
Interval_11921	chr6	106545771	106545940	+	0	NA	promoter-TSS (PRDM1)	-promoter-TSS (PRDM1)	-882	PRDM1	PRDM1	NM_182907			PRDM1			NA
Interval_7081	chr2	101277371	101277672	+	0	NA	Intergenic	Intergenic	98103	PDCL3	PDCL3	NM_024065			PDCL3			NA
Interval_8221	chr21	30375336	30375495	+	0	NA	Intergenic	Intergenic	-10138	LTN1	LTN1	NM_015565			LTN1			NA
Interval_3435	chr12	120970775	120970931	+	0	NA	Intergenic	Intergenic	-1279	RNF10	RNF10	NM_014868			RNF10			NA
Interval_5836	chr17	78228593	78228865	+	0	NA	Intergenic	Intergenic	-5931	RNF213	RNF213	NM_001256071			RNF213			NA
Interval_4945	chr16	2058438	2058627	+	0	NA	intron (ZNF598, intron 3 of 13)	-intron (ZNF598, intron 3 of 13)	1290	ZNF598	ZNF598	NM_178167			ZNF598			NA
Interval_11113	chr5	137071433	137071709	+	0	NA	exon (KLHL3, exon 1 of 15)	-exon (KLHL3, exon 1 of 15)	208	KLHL3	KLHL3	NM_017415			KLHL3			NA
Interval_10005	chr4	78823010	78823246	+	0	NA	intron (MRPL1, intron 6 of 8)	-intron (MRPL1, intron 6 of 8)	39323	MRPL1	MRPL1	NM_020236			MRPL1			NA
Interval_2566	chr11	103023517	103023676	+	0	NA	intron (DYNC2H1, intron 21 of 88)	-intron (DYNC2H1, intron 21 of 89)	43436	DYNC2H1	DYNC2H1	NM_001080463			DYNC2H1			NA
Interval_6503	chr19	58193859	58194006	+	0	NA	intron (ZNF551, intron 1 of 1)	-intron (ZNF551, intron 1 of 2)	595	ZNF551	ZNF551	NM_138347			ZNF551			NA
Interval_6105	chr18	51700366	51700600	+	0	NA	intron (MBD2, intron 3 of 6)	-intron (MBD2, intron 3 of 6)	48299	SNORA37	SNORA37	NR_002970			SNORA37			NA
Interval_259	chr1	42502157	42502306	+	0	NA	promoter-TSS (HIVEP3)	-promoter-TSS (HIVEP3)	-635	HIVEP3	HIVEP3	NR_038261			HIVEP3			NA
Interval_4377	chr14	98419052	98419211	+	0	NA	intron (LINC01550, intron 2 of 2)	-intron (LINC01550, intron 2 of 2)	25330	LINC01550	LINC01550	NR_015430			LINC01550			NA
Interval_13497	chr8	118476752	118476918	+	0	NA	Intergenic	Intergenic	-56117	MED30	MED30	NM_080651			MED30			NA
Interval_1366	chr1	247242029	247242317	+	0	NA	promoter-TSS (ZNF670)	-promoter-TSS (ZNF670)	-58	ZNF670-ZNF695	ZNF670-ZNF695	NR_037894			ZNF670-ZNF695			NA
Interval_5639	chr17	49510819	49510978	+	0	NA	Intergenic	Intergenic	96822	LOC440446	LOC440446	NR_122104			LOC440446			NA
Interval_6713	chr2	38806070	38806334	+	0	NA	intron (HNRNPLL, intron 6 of 12)	-intron (HNRNPLL, intron 7 of 13)	23976	HNRNPLL	HNRNPLL	NM_001142650			HNRNPLL			NA
Interval_1761	chr10	71620032	71620285	+	0	NA	intron (COL13A1, intron 3 of 34)	-intron (COL13A1, intron 3 of 39)	58514	COL13A1	COL13A1	NM_001130103			COL13A1			NA
Interval_11101	chr5	133539177	133539353	+	0	NA	intron (PPP2CA, intron 2 of 6)	-intron (PPP2CA, intron 2 of 6)	-22183	MIR3661	MIR3661	NR_037434			MIR3661			NA
Interval_10267	chr4	131550950	131551109	+	0	NA	Intergenic	Intergenic	-858396	LOC101927282	LOC101927282	NR_110753			LOC101927282			NA
Interval_10013	chr4	79954255	79954530	+	0	NA	intron (LINC01088, intron 2 of 5)	-intron (LINC01088, intron 2 of 5)	61490	LINC01088	LINC01088	NR_038342			LINC01088			NA
Interval_12388	chr7	17021954	17022127	+	0	NA	Intergenic	Intergenic	-100427	AGR3	AGR3	NM_176813			AGR3			NA
Interval_12433	chr7	24240880	24241086	+	0	NA	Intergenic	Intergenic	-82824	NPY	NPY	NM_000905			NPY			NA
Interval_1565	chr10	26767096	26767360	+	0	NA	intron (APBB1IP, intron 2 of 14)	-intron (APBB1IP, intron 2 of 14)	39962	APBB1IP	APBB1IP	NM_019043			APBB1IP			NA
Interval_2044	chr10	120738607	120738766	+	0	NA	Intergenic	Intergenic	-50542	NANOS1	NANOS1	NM_199461			NANOS1			NA
Interval_568	chr1	101540492	101540691	+	0	NA	intron (LOC102606465, intron 1 of 4)	-intron (LOC102606465, intron 1 of 4)	49189	LOC102606465	LOC102606465	NR_109849			LOC102606465			NA
Interval_7482	chr2	182105836	182106211	+	0	NA	intron (LOC101927156, intron 2 of 4)	-intron (LOC101927156, intron 2 of 4)	64356	MIR4437	MIR4437	NR_039637			MIR4437			NA
Interval_2850	chr12	11826613	11826772	+	0	NA	intron (ETV6, intron 1 of 7)	-intron (ETV6, intron 1 of 7)	23904	ETV6	ETV6	NM_001987			ETV6			NA
Interval_5696	chr17	58586282	58586441	+	0	NA	intron (APPBP2, intron 1 of 12)	-intron (APPBP2, intron 1 of 11)	17240	APPBP2	APPBP2	NM_006380			APPBP2			NA
Interval_8819	chr3	32463140	32463313	+	0	NA	intron (CMTM7, intron 1 of 3)	-intron (CMTM7, intron 1 of 4)	30063	CMTM7	CMTM7	NM_138410			CMTM7			NA
Interval_12262	chr6	159415514	159415673	+	0	NA	intron (RSPH3, intron 1 of 7)	-intron (RSPH3, intron 1 of 7)	5605	RSPH3	RSPH3	NM_031924			RSPH3			NA
Interval_10834	chr5	80724696	80724889	+	0	NA	intron (SSBP2, intron 15 of 16)	-intron (SSBP2, intron 15 of 16)	-34804	ACOT12	ACOT12	NM_130767			ACOT12			NA
Interval_7808	chr2	238330274	238330560	+	0	NA	Intergenic	Intergenic	-7567	COL6A3	COL6A3	NM_004369			COL6A3			NA
Interval_8143	chr20	58836780	58836974	+	0	NA	intron (MIR646HG, intron 3 of 4)	-intron (MIR646HG, intron 3 of 4)	-46655	MIR646	MIR646	NR_030376			MIR646			NA
Interval_2334	chr11	59586178	59586440	+	0	NA	Intergenic	Intergenic	-7964	MRPL16	MRPL16	NM_017840			MRPL16			NA
Interval_2363	chr11	62679060	62679257	+	0	NA	intron (CHRM1, intron 1 of 1)	-intron (CHRM1, intron 1 of 1)	9854	CHRM1	CHRM1	NM_000738			CHRM1			NA
Interval_12197	chr6	151187376	151187556	+	0	NA	promoter-TSS (MTHFD1L)	-promoter-TSS (MTHFD1L)	651	MTHFD1L	MTHFD1L	NM_015440			MTHFD1L			NA
Interval_4697	chr15	63798768	63799031	+	0	NA	intron (USP3, intron 1 of 15)	-intron (USP3, intron 1 of 13)	2189	USP3	USP3	NM_001256702			USP3			NA
Interval_10948	chr5	102831811	102832077	+	0	NA	Intergenic	Intergenic	45742	LOC102467212	LOC102467212	NR_104670			LOC102467212			NA
Interval_3859	chr13	93741613	93741772	+	0	NA	Intergenic	Intergenic	44098	LINC00363	LINC00363	NR_126360			LINC00363			NA
Interval_2511	chr11	88818175	88818334	+	0	NA	Intergenic	Intergenic	-37014	GRM5	GRM5	NM_000842			GRM5			NA
Interval_12587	chr7	55601902	55602093	+	0	NA	intron (VOPP1, intron 1 of 4)	-intron (VOPP1, intron 1 of 4)	38203	VOPP1	VOPP1	NM_030796			VOPP1			NA
Interval_6189	chr18	72946244	72946415	+	0	NA	intron (TSHZ1, intron 1 of 1)	-intron (TSHZ1, intron 1 of 1)	23619	TSHZ1	TSHZ1	NM_001308210			TSHZ1			NA
Interval_4858	chr15	90437082	90437338	+	0	NA	exon (AP3S2, exon 1 of 6)	-exon (AP3S2, exon 1 of 6)	407	AP3S2	AP3S2	NM_005829			AP3S2			NA
Interval_6982	chr2	85073373	85073546	+	0	NA	intron (TRABD2A, intron 2 of 4)	-intron (TRABD2A, intron 2 of 5)	34910	TRABD2A	TRABD2A	NM_001307978			TRABD2A			NA
Interval_2565	chr11	103020541	103020789	+	0	NA	intron (DYNC2H1, intron 20 of 88)	-intron (DYNC2H1, intron 20 of 89)	40505	DYNC2H1	DYNC2H1	NM_001080463			DYNC2H1			NA
Interval_5207	chr16	68323603	68323822	+	0	NA	intron (SLC7A6, intron 4 of 10)	-intron (SLC7A6, intron 5 of 11)	21156	SLC7A6OS	SLC7A6OS	NM_032178			SLC7A6OS			NA
Interval_11054	chr5	127536852	127537278	+	0	NA	Intergenic	Intergenic	117582	SLC12A2	SLC12A2	NM_001256461			SLC12A2			NA
Interval_9316	chr3	133182397	133182665	+	0	NA	intron (BFSP2, intron 4 of 6)	-intron (BFSP2, intron 4 of 6)	63692	BFSP2	BFSP2	NM_003571			BFSP2			NA
Interval_11916	chr6	104973582	104973800	+	0	NA	Intergenic	Intergenic	334103	HACE1	HACE1	NM_020771			HACE1			NA
Interval_9369	chr3	141515462	141515910	+	0	NA	intron (GRK7, intron 2 of 3)	-intron (GRK7, intron 2 of 3)	18643	GRK7	GRK7	NM_139209			GRK7			NA
Interval_6349	chr19	20607658	20608006	+	0	NA	promoter-TSS (ZNF826P)	-promoter-TSS (ZNF826P)	-61	ZNF826P	ZNF826P	NR_036455			ZNF826P			NA
Interval_2772	chr12	2024773	2025054	+	0	NA	intron (CACNA2D4, intron 1 of 37)	-intron (CACNA2D4, intron 1 of 37)	2957	CACNA2D4	CACNA2D4	NM_172364			CACNA2D4			NA
Interval_10251	chr4	124515639	124515880	+	0	NA	Intergenic	Intergenic	-179660	LINC01091	LINC01091	NR_027105			LINC01091			NA
Interval_10275	chr4	133187557	133187936	+	0	NA	Intergenic	Intergenic	-324498	LINC01256	LINC01256	NR_126401			LINC01256			NA
Interval_8426	chr22	24800884	24801088	+	0	NA	intron (SPECC1L, intron 13 of 14)	-intron (SPECC1L, intron 13 of 15)	-22544	ADORA2A	ADORA2A	NM_001278497			ADORA2A			NA
Interval_8052	chr20	42657799	42657991	+	0	NA	intron (TOX2, intron 4 of 9)	-intron (TOX2, intron 3 of 8)	113113	TOX2	TOX2	NM_001098798			TOX2			NA
Interval_11858	chr6	90820753	90821124	+	0	NA	intron (BACH2, intron 4 of 8)	-intron (BACH2, intron 2 of 6)	185689	BACH2	BACH2	NM_001170794			BACH2			NA
Interval_13195	chr8	41978050	41978279	+	0	NA	Intergenic	Intergenic	-32300	AP3M2	AP3M2	NM_001134296			AP3M2			NA
Interval_12272	chr6	163621665	163621824	+	0	NA	intron (PACRG, intron 4 of 4)	-intron (PACRG, intron 5 of 5)	-8710	LOC729658	LOC729658	NR_122120			LOC729658			NA
Interval_4505	chr15	33396617	33396915	+	0	NA	intron (FMN1, intron 4 of 20)	-intron (FMN1, intron 4 of 20)	90168	FMN1	FMN1	NM_001277313			FMN1			NA
Interval_8391	chr22	20267169	20267462	+	0	NA	Intergenic	Intergenic	-11499	RTN4R	RTN4R	NM_023004			RTN4R			NA
Interval_10395	chr4	163812997	163813248	+	0	NA	Intergenic	Intergenic	201658	MIR4454	MIR4454	NR_039659_3			MIR4454			NA
Interval_9826	chr4	26676748	26676907	+	0	NA	intron (TBC1D19, intron 11 of 20)	-intron (TBC1D19, intron 8 of 17)	91281	TBC1D19	TBC1D19	NM_018317			TBC1D19			NA
Interval_11236	chr5	158839387	158839562	+	0	NA	Intergenic	Intergenic	53810	LOC285627	LOC285627	NR_027110			LOC285627			NA
Interval_12082	chr6	135667950	135668443	+	0	NA	intron (AHI1, intron 23 of 27)	-intron (AHI1, intron 22 of 26)	150707	AHI1	AHI1	NM_017651			AHI1			NA
Interval_6588	chr2	15317194	15317580	+	0	NA	intron (NBAS, intron 50 of 50)	-intron (NBAS, intron 51 of 51)	384085	NBAS	NBAS	NM_015909			NBAS			NA
