PeakID (cmd=annotatePeaks.pl ENCAB606JHO.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_13222	chr6	31722342	31722650	+	0	NA	intron (MSH5-SAPCD1, intron 12 of 28)	-intron (MSH5, intron 12 of 24)	-8277	SAPCD1	SAPCD1	NM_001039651_2			SAPCD1			NA
Interval_11790	chr4	110495577	110495944	+	0	NA	intron (CCDC109B, intron 1 of 7)	-intron (CCDC109B, intron 1 of 7)	14405	CCDC109B	CCDC109B	NM_017918			CCDC109B			NA
Interval_5152	chr15	49170010	49170572	+	0	NA	promoter-TSS (EID1)	-promoter-TSS (EID1)	1	EID1	EID1	NM_014335			EID1			NA
Interval_8309	chr19	53868880	53869312	+	0	NA	intron (ZNF525, intron 1 of 3)	-intron (ZNF525, intron 1 of 3)	128	ZNF525	ZNF525	NR_003699			ZNF525			NA
Interval_7070	chr18	3447828	3448073	+	0	NA	intron (TGIF1, intron 1 of 2)	-intron (TGIF1, intron 2 of 3)	-18298	GAPLINC	GAPLINC	NR_110429			GAPLINC			NA
Interval_8346	chr19	55678201	55678439	+	0	NA	promoter-TSS (DNAAF3)	-promoter-TSS (DNAAF3)	-230	DNAAF3	DNAAF3	NM_001256714			DNAAF3			NA
Interval_808	chr1	78148149	78148655	+	0	NA	promoter-TSS (ZZZ3)	-promoter-TSS (ZZZ3)	-59	ZZZ3	ZZZ3	NM_001308237			ZZZ3			NA
Interval_3552	chr12	10874457	10875146	+	0	NA	intron (YBX3, intron 1 of 9)	-intron (YBX3, intron 1 of 8)	1152	YBX3	YBX3	NM_003651			YBX3			NA
Interval_1231	chr1	155532742	155533315	+	0	NA	promoter-TSS (ASH1L)	-promoter-TSS (ASH1L)	-704	ASH1L	ASH1L	NM_018489			ASH1L			NA
Interval_14894	chr7	157194396	157194690	+	0	NA	intron (DNAJB6, intron 8 of 9)	-intron (DNAJB6, intron 8 of 9)	-64382	LOC101927914	LOC101927914	NR_110157			LOC101927914			NA
Interval_3868	chr12	57432770	57433295	+	0	NA	exon (MYO1A, exon 16 of 29)	-exon (MYO1A, exon 16 of 29)	10869	MYO1A	MYO1A	NM_001256041			MYO1A			NA
Interval_4921	chr14	89498490	89498810	+	0	NA	Intergenic	Intergenic	208153	TTC8	TTC8	NM_198310			TTC8			NA
Interval_13226	chr6	31783135	31783605	+	0	NA	promoter-TSS (HSPA1A)	-promoter-TSS (HSPA1A)	79	HSPA1A	HSPA1A	NM_005345_1			HSPA1A			NA
Interval_3661	chr12	46650198	46650620	+	0	NA	intron (SLC38A1, intron 1 of 17)	-intron (SLC38A1, intron 1 of 16)	12799	SLC38A1	SLC38A1	NM_001077484			SLC38A1			NA
Interval_13201	chr6	31508836	31510692	+	0	NA	promoter-TSS (SNORD84)	-promoter-TSS (SNORD84)	488	DDX39B	DDX39B	NM_080598			DDX39B			NA
Interval_14566	chr7	105516707	105517027	+	0	NA	exon (ATXN7L1, exon 1 of 12)	-exon (ATXN7L1, exon 1 of 12)	164	ATXN7L1	ATXN7L1	NM_152749			ATXN7L1			NA
Interval_15822	chr9	115629134	115630229	+	0	NA	intron (SNX30, intron 8 of 8)	-intron (SNX30, intron 8 of 8)	23512	SLC46A2	SLC46A2	NM_033051			SLC46A2			NA
Interval_2283	chr10	75006365	75007429	+	0	NA	promoter-TSS (DNAJC9-AS1)	-promoter-TSS (DNAJC9-AS1)	192	DNAJC9	DNAJC9	NM_015190			DNAJC9			NA
Interval_6620	chr17	42422257	42422532	+	0	NA	promoter-TSS (GRN)	-promoter-TSS (GRN)	-60	GRN	GRN	NM_002087			GRN			NA
Interval_1772	chr1	233085779	233086335	+	0	NA	promoter-TSS (NTPCR)	-promoter-TSS (NTPCR)	-313	NTPCR	NTPCR	NM_032324			NTPCR			NA
Interval_15926	chr9	131102420	131102724	+	0	NA	promoter-TSS (SLC27A4)	-promoter-TSS (SLC27A4)	-267	SLC27A4	SLC27A4	NM_005094			SLC27A4			NA
Interval_6944	chr17	74733247	74734385	+	0	NA	promoter-TSS (SRSF2)	-promoter-TSS (SRSF2)	233	MFSD11	MFSD11	NM_001242537			MFSD11			NA
Interval_7612	chr19	14494850	14495281	+	0	NA	intron (ADGRE5, intron 1 of 19)	-intron (ADGRE5, intron 1 of 18)	3109	ADGRE5	ADGRE5	NM_078481			ADGRE5			NA
Interval_3439	chr11	126138545	126139203	+	0	NA	promoter-TSS (SRPR)	-promoter-TSS (SRPR)	3	SRPR	SRPR	NM_001177842			SRPR			NA
Interval_6220	chr17	6915431	6915923	+	0	NA	promoter-TSS (RNASEK)	-promoter-TSS (RNASEK)	-24	ALOX12-AS1	ALOX12-AS1	NR_040089			ALOX12-AS1			NA
Interval_472	chr1	35450909	35451181	+	0	NA	promoter-TSS (ZMYM6NB)	-promoter-TSS (ZMYM6NB)	-97	ZMYM6NB	ZMYM6NB	NM_001195156			ZMYM6NB			NA
Interval_1050	chr1	145139028	145139512	+	0	NA	intron (NBPF9, intron 20 of 24)	-intron (NBPF9, intron 20 of 24)	42863	SEC22B	SEC22B	NM_004892			SEC22B			NA
Interval_12758	chr5	180618358	180618862	+	0	NA	intron (LOC102577426, intron 1 of 1)	-intron (LOC102577426, intron 1 of 1)	298	LOC102577426	LOC102577426	NR_108031			LOC102577426			NA
Interval_15877	chr9	127619074	127619511	+	0	NA	TTS (RPL35)	-TTS (RPL35)	3596	WDR38	WDR38	NM_001045476			WDR38			NA
Interval_3922	chr12	66018472	66018917	+	0	NA	intron (LOC100507065, intron 1 of 4)	-intron (LOC100507065, intron 1 of 3)	17458	LOC100507065	LOC100507065	NR_120433			LOC100507065			NA
Interval_4474	chr13	51483958	51484668	+	0	NA	intron (RNASEH2B, intron 1 of 10)	-intron (RNASEH2B, intron 1 of 9)	499	RNASEH2B	RNASEH2B	NM_001142279			RNASEH2B			NA
Interval_5951	chr16	67970352	67971173	+	0	NA	promoter-TSS (PSMB10)	-promoter-TSS (PSMB10)	18	PSMB10	PSMB10	NM_002801			PSMB10			NA
Interval_11700	chr4	83273067	83273452	+	0	NA	Intergenic	Intergenic	21890	HNRNPD	HNRNPD	NM_031370			HNRNPD			NA
Interval_15051	chr8	38239894	38240303	+	0	NA	promoter-TSS (WHSC1L1)	-promoter-TSS (WHSC1L1)	-308	WHSC1L1	WHSC1L1	NM_023034			WHSC1L1			NA
Interval_10683	chr3	37034456	37035526	+	0	NA	promoter-TSS (MLH1)	-promoter-TSS (MLH1)	-196	EPM2AIP1	EPM2AIP1	NM_014805			EPM2AIP1			NA
Interval_6362	chr17	26284301	26284626	+	0	NA	Intergenic	Intergenic	-64054	LYRM9	LYRM9	NM_001076680			LYRM9			NA
Interval_8762	chr2	65454476	65455059	+	0	NA	promoter-TSS (ACTR2)	-promoter-TSS (ACTR2)	-62	ACTR2	ACTR2	NM_001005386			ACTR2			NA
Interval_7667	chr19	17518068	17518475	+	0	NA	intron (BISPR, intron 3 of 4)	-intron (MVB12A, intron 2 of 9)	1776	BISPR	BISPR	NR_130765			BISPR			NA
Interval_15490	chr8	145980753	145981108	+	0	NA	promoter-TSS (ZNF251)	-promoter-TSS (ZNF251)	40	ZNF251	ZNF251	NM_138367			ZNF251			NA
Interval_12506	chr5	138875359	138875907	+	0	NA	Intergenic	Intergenic	-13258	TMEM173	TMEM173	NM_198282			TMEM173			NA
Interval_181	chr1	16488826	16489061	+	0	NA	Intergenic	Intergenic	-6361	EPHA2	EPHA2	NM_004431			EPHA2			NA
Interval_604	chr1	44501630	44501997	+	0	NA	Intergenic	Intergenic	-4649	SLC6A9	SLC6A9	NM_001024845			SLC6A9			NA
Interval_143	chr1	12580159	12580408	+	0	NA	Intergenic	Intergenic	12983	SNORA59B	SNORA59B	NR_003022_1			SNORA59B			NA
Interval_1586	chr1	205090882	205091615	+	0	NA	promoter-TSS (RBBP5)	-promoter-TSS (RBBP5)	-98	RBBP5	RBBP5	NM_005057			RBBP5			NA
Interval_3335	chr11	109816916	109817378	+	0	NA	Intergenic	Intergenic	-146940	ZC3H12C	ZC3H12C	NM_033390			ZC3H12C			NA
Interval_15512	chr9	4678792	4679553	+	0	NA	promoter-TSS (CDC37L1)	-promoter-TSS (CDC37L1)	308	CDC37L1-AS1	CDC37L1-AS1	NR_121598			CDC37L1-AS1			NA
Interval_554	chr1	40723374	40723963	+	0	NA	promoter-TSS (ZMPSTE24)	-promoter-TSS (ZMPSTE24)	-54	ZMPSTE24	ZMPSTE24	NM_005857			ZMPSTE24			NA
Interval_8698	chr2	53994330	53994918	+	0	NA	promoter-TSS (CHAC2)	-promoter-TSS (CHAC2)	-305	CHAC2	CHAC2	NM_001008708			CHAC2			NA
Interval_7471	chr19	9895819	9896153	+	0	NA	Intergenic	Intergenic	-16576	ZNF846	ZNF846	NM_001077624			ZNF846			NA
Interval_15677	chr9	88555341	88556000	+	0	NA	promoter-TSS (NAA35)	-promoter-TSS (NAA35)	-387	NAA35	NAA35	NM_024635			NAA35			NA
Interval_3575	chr12	16034987	16035548	+	0	NA	promoter-TSS (STRAP)	-promoter-TSS (STRAP)	-21	STRAP	STRAP	NM_007178			STRAP			NA
Interval_5334	chr15	75181706	75182629	+	0	NA	promoter-TSS (MPI)	-promoter-TSS (MPI)	-185	MPI	MPI	NM_001289156			MPI			NA
Interval_10713	chr3	41158910	41159152	+	0	NA	Intergenic	Intergenic	-81911	CTNNB1	CTNNB1	NM_001098210			CTNNB1			NA
Interval_12950	chr6	22032234	22032505	+	0	NA	intron (CASC15, intron 7 of 11)	-intron (CASC15, intron 7 of 11)	115053	NBAT1	NBAT1	NR_034143			NBAT1			NA
Interval_11369	chr3	195681325	195681984	+	0	NA	Intergenic	Intergenic	35496	SDHAP1	SDHAP1	NR_003264			SDHAP1			NA
Interval_5587	chr16	4303357	4303724	+	0	NA	intron (LINC01569, intron 1 of 2)	-intron (LINC01569, intron 1 of 2)	250	LINC01569	LINC01569	NR_039999			LINC01569			NA
Interval_6731	chr17	49243280	49243921	+	0	NA	promoter-TSS (NME2)	-promoter-TSS (NME2)	-33	NME2	NME2	NM_002512			NME2			NA
Interval_11454	chr4	5069620	5070075	+	0	NA	intron (STK32B, intron 1 of 11)	-intron (STK32B, intron 1 of 12)	16603	STK32B	STK32B	NM_001306082			STK32B			NA
Interval_10610	chr3	14413285	14413739	+	0	NA	Intergenic	Intergenic	-19444	LINC01267	LINC01267	NR_110135			LINC01267			NA
Interval_10358	chr22	36635470	36635801	+	0	NA	promoter-TSS (APOL2)	-promoter-TSS (APOL2)	365	APOL2	APOL2	NM_145637			APOL2			NA
Interval_6211	chr17	5372174	5372702	+	0	NA	promoter-TSS (DHX33)	-promoter-TSS (DHX33)	-58	DHX33	DHX33	NM_020162			DHX33			NA
Interval_11423	chr4	761598	762083	+	0	NA	exon (PCGF3, exon 11 of 11)	-exon (PCGF3, exon 11 of 11)	13796	LOC100129917	LOC100129917	NR_036512			LOC100129917			NA
Interval_4572	chr13	111633417	111633754	+	0	NA	intron (LINC00431, intron 1 of 1)	-intron (LINC00431, intron 1 of 1)	15211	LINC00431	LINC00431	NR_126378			LINC00431			NA
Interval_11912	chr4	153471799	153472077	+	0	NA	Intergenic	Intergenic	14358	MIR4453	MIR4453	NR_039658			MIR4453			NA
Interval_872	chr1	93912595	93912925	+	0	NA	promoter-TSS (FNBP1L)	-promoter-TSS (FNBP1L)	-928	FNBP1L	FNBP1L	NM_001164473			FNBP1L			NA
Interval_299	chr1	25739501	25740065	+	0	NA	intron (RHCE, intron 1 of 8)	-intron (RHCE, intron 1 of 9)	7580	RHCE	RHCE	NM_020485			RHCE			NA
Interval_1428	chr1	174846137	174846740	+	0	NA	intron (RABGAP1L, intron 1 of 3)	-intron (RABGAP1L, intron 1 of 3)	76960	LOC101928696	LOC101928696	NR_121196			LOC101928696			NA
Interval_11824	chr4	122744975	122745439	+	0	NA	promoter-TSS (CCNA2)	-promoter-TSS (CCNA2)	-119	CCNA2	CCNA2	NM_001237			CCNA2			NA
Interval_987	chr1	114447225	114448213	+	0	NA	promoter-TSS (AP4B1)	-promoter-TSS (AP4B1)	27	AP4B1	AP4B1	NM_001253853			AP4B1			NA
Interval_13105	chr6	28303446	28304632	+	0	NA	promoter-TSS (ZSCAN31)	-promoter-TSS (ZSCAN31)	113	ZSCAN31	ZSCAN31	NM_001243244			ZSCAN31			NA
Interval_11928	chr4	159103749	159104230	+	0	NA	Intergenic	Intergenic	-10271	FAM198B	FAM198B	NM_001031700			FAM198B			NA
Interval_7660	chr19	17428199	17428676	+	0	NA	intron (DDA1, intron 4 of 4)	-intron (DDA1, intron 4 of 4)	8100	DDA1	DDA1	NM_024050			DDA1			NA
Interval_15313	chr8	107182711	107183230	+	0	NA	Intergenic	Intergenic	-110239	ZFPM2-AS1	ZFPM2-AS1	NR_125797			ZFPM2-AS1			NA
Interval_16392	chrX	118960337	118960808	+	0	NA	Intergenic	Intergenic	26419	UPF3B	UPF3B	NM_023010			UPF3B			NA
Interval_1347	chr1	162356151	162356497	+	0	NA	exon (C1orf226, exon 2 of 2)	-exon (C1orf226, exon 2 of 2)	7628	C1orf226	C1orf226	NM_001085375			C1orf226			NA
Interval_16390	chrX	118827078	118827400	+	0	NA	promoter-TSS (SEPT6)	-promoter-TSS (SEPT6)	94	SEPT6	SEPT6	NM_145800			SEPT6			NA
Interval_15719	chr9	96919346	96919729	+	0	NA	Intergenic	Intergenic	-18702	MIRLET7A1	MIRLET7A1	NR_029476			MIRLET7A1			NA
Interval_2455	chr10	103347733	103348023	+	0	NA	promoter-TSS (DPCD)	-promoter-TSS (DPCD)	149	POLL	POLL	NR_033406			POLL			NA
Interval_5612	chr16	8964623	8965307	+	0	NA	Intergenic	Intergenic	-2096	CARHSP1	CARHSP1	NM_014316			CARHSP1			NA
Interval_9091	chr2	135675533	135676590	+	0	NA	promoter-TSS (CCNT2)	-promoter-TSS (CCNT2)	115	CCNT2-AS1	CCNT2-AS1	NR_036549			CCNT2-AS1			NA
Interval_13326	chr6	36576037	36576519	+	0	NA	Intergenic	Intergenic	14011	MIR3925	MIR3925	NR_037491			MIR3925			NA
Interval_14889	chr7	156929023	156929302	+	0	NA	Intergenic	Intergenic	-2493	UBE3C	UBE3C	NM_014671			UBE3C			NA
Interval_13426	chr6	43872649	43872912	+	0	NA	intron (LINC01512, intron 1 of 1)	-intron (LINC01512, intron 1 of 1)	14015	LINC01512	LINC01512	NR_024478			LINC01512			NA
Interval_8715	chr2	55686787	55687354	+	0	NA	Intergenic	Intergenic	-40013	CCDC88A	CCDC88A	NM_001135597			CCDC88A			NA
Interval_12155	chr5	43602064	43602408	+	0	NA	promoter-TSS (NNT)	-promoter-TSS (NNT)	-993	NNT	NNT	NM_012343			NNT			NA
Interval_2913	chr11	61103535	61103930	+	0	NA	intron (TKFC, intron 2 of 17)	-intron (TKFC, intron 2 of 17)	-3048	DDB1	DDB1	NM_001923			DDB1			NA
Interval_2923	chr11	61565214	61566072	+	0	NA	TTS (FEN1)	-TTS (FEN1)	5534	FEN1	FEN1	NM_004111			FEN1			NA
Interval_2997	chr11	64529597	64529940	+	0	NA	Intergenic	Intergenic	-1581	PYGM	PYGM	NM_001164716			PYGM			NA
Interval_3604	chr12	26779281	26779751	+	0	NA	intron (ITPR2, intron 23 of 56)	-intron (ITPR2, intron 23 of 56)	206615	ITPR2	ITPR2	NM_002223			ITPR2			NA
Interval_6658	chr17	44913203	44913432	+	0	NA	Intergenic	Intergenic	-15651	WNT9B	WNT9B	NM_003396			WNT9B			NA
Interval_8555	chr2	26568471	26568737	+	0	NA	promoter-TSS (EPT1)	-promoter-TSS (EPT1)	-350	EPT1	EPT1	NM_033505			EPT1			NA
Interval_7284	chr19	1442590	1442818	+	0	NA	Intergenic	Intergenic	4280	RPS15	RPS15	NM_001308226			RPS15			NA
Interval_10163	chr21	46587942	46588198	+	0	NA	intron (ADARB1, intron 3 of 12)	-intron (ADARB1, intron 2 of 10)	93577	ADARB1	ADARB1	NM_015834			ADARB1			NA
Interval_9905	chr20	49547927	49548265	+	0	NA	promoter-TSS (ADNP)	-promoter-TSS (ADNP)	-569	ADNP	ADNP	NM_181442			ADNP			NA
Interval_3753	chr12	52463354	52463912	+	0	NA	promoter-TSS (ATG101)	-promoter-TSS (ATG101)	-125	ATG101	ATG101	NM_021934			ATG101			NA
Interval_10667	chr3	33074507	33075199	+	0	NA	intron (GLB1, intron 7 of 12)	-intron (GLB1, intron 10 of 15)	63440	TMPPE	TMPPE	NM_001136238			TMPPE			NA
Interval_8855	chr2	75873571	75874139	+	0	NA	promoter-TSS (MRPL19)	-promoter-TSS (MRPL19)	-54	MRPL19	MRPL19	NM_014763			MRPL19			NA
Interval_3734	chr12	51018963	51019199	+	0	NA	intron (DIP2B, intron 1 of 37)	-intron (DIP2B, intron 1 of 37)	120313	DIP2B	DIP2B	NM_173602			DIP2B			NA
Interval_13571	chr6	88441471	88441911	+	0	NA	Intergenic	Intergenic	-29706	AKIRIN2	AKIRIN2	NM_018064			AKIRIN2			NA
Interval_12317	chr5	90663260	90664165	+	0	NA	TTS (ARRDC3)	-TTS (ARRDC3)	-12452	ARRDC3-AS1	ARRDC3-AS1	NR_027435			ARRDC3-AS1			NA
Interval_2994	chr11	64086411	64086662	+	0	NA	promoter-TSS (TRMT112)	-promoter-TSS (TRMT112)	976	PRDX5	PRDX5	NM_012094			PRDX5			NA
Interval_4715	chr14	36750500	36750880	+	0	NA	Intergenic	Intergenic	39192	MBIP	MBIP	NM_016586			MBIP			NA
Interval_204	chr1	17765884	17766183	+	0	NA	promoter-TSS (RCC2)	-promoter-TSS (RCC2)	217	RCC2	RCC2	NM_018715			RCC2			NA
Interval_2027	chr10	20355833	20356064	+	0	NA	intron (PLXDC2, intron 3 of 13)	-intron (PLXDC2, intron 2 of 12)	250576	PLXDC2	PLXDC2	NM_001282736			PLXDC2			NA
Interval_1230	chr1	155531779	155532035	+	0	NA	exon (ASH1L-AS1, exon 1 of 1)	-exon (ASH1L-AS1, exon 1 of 1)	135	ASH1L-AS1	ASH1L-AS1	NR_027023			ASH1L-AS1			NA
Interval_4601	chr14	20937211	20937954	+	0	NA	promoter-TSS (PNP)	-promoter-TSS (PNP)	44	PNP	PNP	NM_000270			PNP			NA
Interval_7372	chr19	4577108	4577787	+	0	NA	Intergenic	Intergenic	-17676	SEMA6B	SEMA6B	NM_032108			SEMA6B			NA
Interval_3864	chr12	57145902	57146497	+	0	NA	promoter-TSS (PRIM1)	-promoter-TSS (PRIM1)	-53	PRIM1	PRIM1	NM_000946			PRIM1			NA
Interval_4294	chr12	124085995	124086810	+	0	NA	promoter-TSS (DDX55)	-promoter-TSS (DDX55)	-270	DDX55	DDX55	NM_020936			DDX55			NA
Interval_10866	chr3	58221697	58221980	+	0	NA	Intergenic	Intergenic	-1421	ABHD6	ABHD6	NM_020676			ABHD6			NA
Interval_15908	chr9	130699764	130700505	+	0	NA	exon (DPM2, exon 1 of 4)	-exon (DPM2, exon 1 of 4)	629	DPM2	DPM2	NM_003863			DPM2			NA
Interval_3712	chr12	49638086	49638344	+	0	NA	intron (TUBA1C, intron 1 of 3)	-intron (TUBA1C, intron 1 of 3)	-20567	TUBA1C	TUBA1C	NM_001303117			TUBA1C			NA
Interval_15879	chr9	127631072	127631336	+	0	NA	promoter-TSS (ARPC5L)	-promoter-TSS (ARPC5L)	-280	ARPC5L	ARPC5L	NM_030978			ARPC5L			NA
Interval_10205	chr22	20008095	20008487	+	0	NA	promoter-TSS (TANGO2)	-promoter-TSS (TANGO2)	-3982	ARVCF	ARVCF	NM_001670			ARVCF			NA
Interval_4853	chr14	71822659	71822990	+	0	NA	Intergenic	Intergenic	-42230	SNORD56B	SNORD56B	NR_001276			SNORD56B			NA
Interval_4509	chr13	77903293	77903672	+	0	NA	Intergenic	Intergenic	-2305	MYCBP2	MYCBP2	NM_015057			MYCBP2			NA
Interval_10669	chr3	33096887	33097454	+	0	NA	intron (GLB1, intron 3 of 12)	-intron (GLB1, intron 6 of 15)	41123	TMPPE	TMPPE	NM_001136238			TMPPE			NA
Interval_11876	chr4	140585568	140585843	+	0	NA	Intergenic	Intergenic	-1217	MGST2	MGST2	NM_001204367			MGST2			NA
Interval_11032	chr3	128135279	128135813	+	0	NA	Intergenic	Intergenic	-46891	DNAJB8-AS1	DNAJB8-AS1	NR_037890			DNAJB8-AS1			NA
Interval_12330	chr5	94999751	94999996	+	0	NA	intron (SPATA9, intron 2 of 7)	-intron (SPATA9, intron 3 of 4)	17290	RFESD	RFESD	NM_173362			RFESD			NA
Interval_1364	chr1	166458666	166459948	+	0	NA	Intergenic	Intergenic	-113846	FMO9P	FMO9P	NR_002925			FMO9P			NA
Interval_376	chr1	28832190	28833092	+	0	NA	intron (RCC1, intron 1 of 12)	-intron (RCC1, intron 1 of 11)	186	SNHG3	SNHG3	NR_002909			SNHG3			NA
Interval_9188	chr2	161826485	161826880	+	0	NA	Intergenic	Intergenic	-166784	TANK	TANK	NM_004180			TANK			NA
Interval_11137	chr3	150323734	150324033	+	0	NA	intron (SELT, intron 1 of 5)	-intron (SELT, intron 1 of 5)	2817	SELT	SELT	NM_016275			SELT			NA
Interval_151	chr1	14660850	14661140	+	0	NA	Intergenic	Intergenic	-264218	KAZN	KAZN	NM_201628			KAZN			NA
Interval_10660	chr3	28390055	28390993	+	0	NA	promoter-TSS (ZCWPW2)	-promoter-TSS (ZCWPW2)	94	AZI2	AZI2	NM_001271650			AZI2			NA
Interval_2769	chr11	32913669	32914149	+	0	NA	promoter-TSS (QSER1)	-promoter-TSS (QSER1)	-815	QSER1	QSER1	NM_001076786			QSER1			NA
Interval_14253	chr7	56167277	56167670	+	0	NA	Intergenic	Intergenic	6714	CHCHD2	CHCHD2	NM_016139			CHCHD2			NA
Interval_15736	chr9	99181209	99181855	+	0	NA	promoter-TSS (ZNF367)	-promoter-TSS (ZNF367)	-863	ZNF367	ZNF367	NM_153695			ZNF367			NA
Interval_457	chr1	33283648	33283995	+	0	NA	promoter-TSS (YARS)	-promoter-TSS (YARS)	-188	YARS	YARS	NM_003680			YARS			NA
Interval_5903	chr16	57716596	57717123	+	0	NA	intron (ADGRG3, intron 8 of 11)	-intron (ADGRG3, intron 7 of 10)	-11854	DRC7	DRC7	NM_032269			DRC7			NA
Interval_13083	chr6	27835007	27835424	+	0	NA	exon (HIST1H1B, exon 1 of 1)	-exon (HIST1H1B, exon 1 of 1)	144	HIST1H1B	HIST1H1B	NM_005322			HIST1H1B			NA
Interval_11172	chr3	156206951	156207399	+	0	NA	intron (KCNAB1, intron 8 of 13)	-intron (KCNAB1, intron 7 of 12)	-42481	KCNAB1-AS1	KCNAB1-AS1	NR_046618			KCNAB1-AS1			NA
Interval_8919	chr2	96911493	96911723	+	0	NA	Intergenic	Intergenic	20143	TMEM127	TMEM127	NM_017849			TMEM127			NA
Interval_10275	chr22	24372471	24373273	+	0	NA	promoter-TSS (LOC391322)	-promoter-TSS (LOC391322)	-245	LOC391322	LOC391322	NM_001144931			LOC391322			NA
Interval_13935	chr6	166700221	166700703	+	0	NA	Intergenic	Intergenic	21409	PRR18	PRR18	NM_175922			PRR18			NA
Interval_805	chr1	76260684	76263216	+	0	NA	promoter-TSS (MSH4)	-promoter-TSS (MSH4)	-606	MSH4	MSH4	NM_002440			MSH4			NA
Interval_5241	chr15	64385469	64386735	+	0	NA	exon (FAM96A, exon 1 of 4)	-exon (FAM96A, exon 1 of 4)	105	FAM96A	FAM96A	NM_001289108			FAM96A			NA
Interval_10968	chr3	111697713	111697957	+	0	NA	exon (ABHD10, exon 1 of 6)	-exon (ABHD10, exon 1 of 6)	112	ABHD10	ABHD10	NM_018394			ABHD10			NA
Interval_13506	chr6	69450660	69451067	+	0	NA	intron (ADGRB3, intron 3 of 31)	-intron (ADGRB3, intron 3 of 31)	105231	ADGRB3	ADGRB3	NM_001704			ADGRB3			NA
Interval_5449	chr15	90844433	90844794	+	0	NA	Intergenic	Intergenic	-35622	CIB1	CIB1	NR_102428			CIB1			NA
Interval_16108	chrX	23017881	23018251	+	0	NA	promoter-TSS (DDX53)	-promoter-TSS (DDX53)	-12	DDX53	DDX53	NM_182699			DDX53			NA
Interval_8131	chr19	49164138	49164386	+	0	NA	TTS (NTN5)	-TTS (NTN5)	12076	NTN5	NTN5	NM_145807			NTN5			NA
Interval_16518	chrX	153777066	153777442	+	0	NA	intron (IKBKG, intron 1 of 9)	-intron (IKBKG, intron 1 of 9)	1192	IKBKG	IKBKG	NM_003639			IKBKG			NA
Interval_11834	chr4	123971105	123971379	+	0	NA	intron (SPATA5, intron 11 of 15)	-intron (SPATA5, intron 11 of 15)	127017	SPATA5	SPATA5	NM_145207			SPATA5			NA
Interval_9653	chr20	22909472	22909871	+	0	NA	Intergenic	Intergenic	-106386	SSTR4	SSTR4	NM_001052			SSTR4			NA
Interval_6459	chr17	33416691	33416943	+	0	NA	promoter-TSS (RFFL)	-promoter-TSS (RFFL)	-469	RFFL	RFFL	NR_037713			RFFL			NA
Interval_13119	chr6	28676998	28678122	+	0	NA	Intergenic	Intergenic	-122448	ZBED9	ZBED9	NM_052923_1			ZBED9			NA
Interval_5592	chr16	4483876	4484353	+	0	NA	intron (DNAJA3, intron 1 of 8)	-intron (DNAJA3, intron 1 of 10)	8308	DNAJA3	DNAJA3	NM_001286516			DNAJA3			NA
Interval_10998	chr3	120460730	120461791	+	0	NA	promoter-TSS (GTF2E1)	-promoter-TSS (GTF2E1)	124	RABL3	RABL3	NM_173825			RABL3			NA
Interval_3178	chr11	75110256	75110832	+	0	NA	promoter-TSS (RPS3)	-promoter-TSS (RPS3)	9	RPS3	RPS3	NM_001256802			RPS3			NA
Interval_7407	chr19	6429398	6429918	+	0	NA	intron (SLC25A41, intron 4 of 6)	-intron (SLC25A41, intron 4 of 6)	4132	SLC25A41	SLC25A41	NM_173637			SLC25A41			NA
Interval_9561	chr2	242674756	242675129	+	0	NA	intron (D2HGDH, intron 2 of 7)	-intron (D2HGDH, intron 1 of 8)	948	D2HGDH	D2HGDH	NM_001287249			D2HGDH			NA
Interval_8388	chr19	56825909	56826733	+	0	NA	Intergenic	Intergenic	-53169	ZNF542P	ZNF542P	NR_024055			ZNF542P			NA
Interval_10792	chr3	48701294	48701860	+	0	NA	intron (CELSR3-AS1, intron 1 of 2)	-intron (CELSR3-AS1, intron 1 of 2)	376	CELSR3-AS1	CELSR3-AS1	NR_111921			CELSR3-AS1			NA
Interval_2957	chr11	62598898	62600031	+	0	NA	promoter-TSS (STX5)	-promoter-TSS (STX5)	99	STX5	STX5	NM_003164			STX5			NA
Interval_7836	chr19	36526504	36526865	+	0	NA	intron (THAP8, intron 3 of 3)	-intron (LOC101927572, intron 3 of 3)	-2887	CLIP3	CLIP3	NM_015526			CLIP3			NA
Interval_7032	chr17	80446971	80447251	+	0	NA	TTS (NARF)	-TTS (NARF)	-30483	FOXK2	FOXK2	NM_004514			FOXK2			NA
Interval_4577	chr13	113951084	113951455	+	0	NA	promoter-TSS (LAMP1)	-promoter-TSS (LAMP1)	-200	LAMP1	LAMP1	NM_005561			LAMP1			NA
Interval_4705	chr14	35342749	35343407	+	0	NA	intron (BAZ1A, intron 2 of 25)	-intron (BAZ1A, intron 2 of 26)	1775	BAZ1A	BAZ1A	NM_013448			BAZ1A			NA
Interval_1160	chr1	152020342	152020969	+	0	NA	Intergenic	Intergenic	-11144	S100A11	S100A11	NM_005620			S100A11			NA
