PeakID (cmd=annotatePeaks.pl ENCAB000BDY.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_640	chr11	8704161	8704346	+	0	NA	exon (RPL27A, exon 1 of 5)	-exon (RPL27A, exon 1 of 5)	258	RPL27A	RPL27A	NM_000990			RPL27A			NA
Interval_1484	chr17	29158774	29159049	+	0	NA	promoter-TSS (ATAD5)	-promoter-TSS (ATAD5)	-77	ATAD5	ATAD5	NM_024857			ATAD5			NA
Interval_3071	chr6	31763630	31763833	+	0	NA	promoter-TSS (VARS)	-promoter-TSS (VARS)	-19	VARS	VARS	NM_006295_5			VARS			NA
Interval_2174	chr2	27304149	27304310	+	0	NA	intron (EMILIN1, intron 3 of 7)	-intron (EMILIN1, intron 3 of 7)	2794	EMILIN1	EMILIN1	NM_007046			EMILIN1			NA
Interval_2812	chr4	8160663	8160852	+	0	NA	promoter-TSS (ABLIM2)	-promoter-TSS (ABLIM2)	-198	ABLIM2	ABLIM2	NM_001130088			ABLIM2			NA
Interval_1641	chr17	79212792	79212994	+	0	NA	promoter-TSS (C17orf89)	-promoter-TSS (C17orf89)	-2	ENTHD2	ENTHD2	NM_144679			ENTHD2			NA
Interval_735	chr11	65627851	65628029	+	0	NA	promoter-TSS (MUS81)	-promoter-TSS (MUS81)	68	MUS81	MUS81	NM_025128			MUS81			NA
Interval_1674	chr18	13726546	13726727	+	0	NA	promoter-TSS (FAM210A)	-promoter-TSS (FAM210A)	-23	RNMT	RNMT	NM_001308263			RNMT			NA
Interval_333	chr1	153950055	153950203	+	0	NA	exon (JTB, exon 1 of 5)	-exon (JTB, exon 1 of 5)	322	JTB	JTB	NM_006694			JTB			NA
Interval_2914	chr5	122759104	122759245	+	0	NA	intron (CEP120, intron 1 of 20)	-intron (CEP120, intron 1 of 19)	112	CEP120	CEP120	NM_001166226			CEP120			NA
Interval_3354	chr7	111846479	111846628	+	0	NA	promoter-TSS (DOCK4)	-promoter-TSS (DOCK4)	-90	ZNF277	ZNF277	NM_021994			ZNF277			NA
Interval_2903	chr5	78531841	78532069	+	0	NA	promoter-TSS (JMY)	-promoter-TSS (JMY)	30	JMY	JMY	NM_152405			JMY			NA
Interval_226	chr1	47779664	47779822	+	0	NA	promoter-TSS (STIL)	-promoter-TSS (STIL)	76	STIL	STIL	NM_001048166			STIL			NA
Interval_2361	chr20	16710530	16710688	+	0	NA	promoter-TSS (SNRPB2)	-promoter-TSS (SNRPB2)	0	SNRPB2	SNRPB2	NM_003092			SNRPB2			NA
Interval_3601	chr9	127533550	127533765	+	0	NA	promoter-TSS (NR6A1)	-promoter-TSS (NR6A1)	-68	NR6A1	NR6A1	NM_001489			NR6A1			NA
Interval_773	chr11	75063417	75063559	+	0	NA	promoter-TSS (ARRB1)	-promoter-TSS (ARRB1)	-613	ARRB1	ARRB1	NM_004041			ARRB1			NA
Interval_714	chr11	64646035	64646186	+	0	NA	exon (EHD1, exon 1 of 5)	-exon (EHD1, exon 1 of 5)	130	EHD1	EHD1	NM_001282445			EHD1			NA
Interval_615	chr10	135207573	135207721	+	0	NA	promoter-TSS (MTG1)	-promoter-TSS (MTG1)	26	MTG1	MTG1	NM_138384			MTG1			NA
Interval_816	chr12	1799989	1800179	+	0	NA	promoter-TSS (ADIPOR2)	-promoter-TSS (ADIPOR2)	-163	ADIPOR2	ADIPOR2	NM_024551			ADIPOR2			NA
Interval_1747	chr19	3185429	3185951	+	0	NA	promoter-TSS (NCLN)	-promoter-TSS (NCLN)	-185	NCLN	NCLN	NM_020170			NCLN			NA
Interval_1129	chr15	75932414	75932548	+	0	NA	exon (IMP3, exon 1 of 1)	-exon (IMP3, exon 1 of 1)	183	IMP3	IMP3	NM_018285			IMP3			NA
Interval_3695	chr9	140473502	140473636	+	0	NA	promoter-TSS (DPH7)	-promoter-TSS (DPH7)	-182	DPH7	DPH7	NM_138778			DPH7			NA
Interval_1782	chr19	7600430	7600807	+	0	NA	promoter-TSS (PNPLA6)	-promoter-TSS (PNPLA6)	1580	PNPLA6	PNPLA6	NM_001166112			PNPLA6			NA
Interval_1733	chr19	1836791	1837014	+	0	NA	intron (REXO1, intron 1 of 15)	-intron (REXO1, intron 1 of 15)	11550	REXO1	REXO1	NM_020695			REXO1			NA
Interval_393	chr1	180471813	180472120	+	0	NA	promoter-TSS (ACBD6)	-promoter-TSS (ACBD6)	56	ACBD6	ACBD6	NM_032360			ACBD6			NA
Interval_1837	chr19	13048657	13048906	+	0	NA	promoter-TSS (CALR)	-promoter-TSS (CALR)	-633	CALR	CALR	NM_004343			CALR			NA
Interval_243	chr1	59012428	59012628	+	0	NA	promoter-TSS (OMA1)	-promoter-TSS (OMA1)	-57	OMA1	OMA1	NM_145243			OMA1			NA
Interval_15	chr1	1447174	1447561	+	0	NA	promoter-TSS (ATAD3A)	-promoter-TSS (ATAD3A)	-156	ATAD3A	ATAD3A	NM_018188			ATAD3A			NA
Interval_3186	chr6	150472602	150472754	+	0	NA	intron (PPP1R14C, intron 1 of 3)	-intron (PPP1R14C, intron 1 of 3)	8490	PPP1R14C	PPP1R14C	NM_030949			PPP1R14C			NA
Interval_1574	chr17	49337625	49337885	+	0	NA	promoter-TSS (UTP18)	-promoter-TSS (UTP18)	-142	UTP18	UTP18	NM_016001			UTP18			NA
Interval_824	chr12	6961403	6961835	+	0	NA	promoter-TSS (CDCA3)	-promoter-TSS (CDCA3)	328	USP5	USP5	NM_001098536			USP5			NA
Interval_1595	chr17	65241362	65241531	+	0	NA	promoter-TSS (HELZ)	-promoter-TSS (HELZ)	-127	HELZ	HELZ	NM_014877			HELZ			NA
Interval_965	chr12	132845378	132845512	+	0	NA	intron (GALNT9, intron 2 of 10)	-intron (GALNT9, intron 2 of 10)	-6532	LOC100130238	LOC100130238	NR_024563			LOC100130238			NA
Interval_1738	chr19	2061510	2061644	+	0	NA	Intergenic	Intergenic	-10334	MKNK2	MKNK2	NM_199054			MKNK2			NA
Interval_3064	chr6	31515220	31515422	+	0	NA	promoter-TSS (NFKBIL1)	-promoter-TSS (NFKBIL1)	-32	NFKBIL1	NFKBIL1	NM_001144962_5			NFKBIL1			NA
Interval_2697	chr3	49051620	49051754	+	0	NA	exon (WDR6, exon 3 of 6)	-exon (WDR6, exon 3 of 6)	5980	MIR425	MIR425	NR_029948			MIR425			NA
Interval_101	chr1	22231584	22231850	+	0	NA	intron (HSPG2, intron 1 of 96)	-intron (HSPG2, intron 1 of 96)	32073	HSPG2	HSPG2	NM_001291860			HSPG2			NA
Interval_1795	chr19	9420390	9420618	+	0	NA	Intergenic	Intergenic	-4709	ZNF699	ZNF699	NM_198535			ZNF699			NA
Interval_2867	chr5	1185966	1186157	+	0	NA	Intergenic	Intergenic	-7341	CTD-3080P12.3	CTD-3080P12	NR_109911			CTD-3080P12.3			NA
Interval_2193	chr2	44001069	44001295	+	0	NA	promoter-TSS (DYNC2LI1)	-promoter-TSS (DYNC2LI1)	4	DYNC2LI1	DYNC2LI1	NM_016008			DYNC2LI1			NA
Interval_2511	chr22	19419694	19420272	+	0	NA	promoter-TSS (HIRA)	-promoter-TSS (HIRA)	-53	MRPL40	MRPL40	NM_003776			MRPL40			NA
Interval_1423	chr17	4458673	4458807	+	0	NA	promoter-TSS (MYBBP1A)	-promoter-TSS (MYBBP1A)	-59	MYBBP1A	MYBBP1A	NM_001105538			MYBBP1A			NA
Interval_1512	chr17	40273304	40273499	+	0	NA	promoter-TSS (KAT2A)	-promoter-TSS (KAT2A)	-19	KAT2A	KAT2A	NM_021078			KAT2A			NA
Interval_361	chr1	160313044	160313186	+	0	NA	promoter-TSS (NCSTN)	-promoter-TSS (NCSTN)	52	NCSTN	NCSTN	NM_001290186			NCSTN			NA
Interval_3604	chr9	127951896	127952368	+	0	NA	promoter-TSS (PPP6C)	-promoter-TSS (PPP6C)	86	PPP6C	PPP6C	NM_001123355			PPP6C			NA
Interval_403	chr1	193028469	193028785	+	0	NA	promoter-TSS (TROVE2)	-promoter-TSS (TROVE2)	75	TROVE2	TROVE2	NM_001042369			TROVE2			NA
Interval_2488	chr21	45687547	45687685	+	0	NA	Intergenic	Intergenic	-5517	DNMT3L	DNMT3L	NM_175867			DNMT3L			NA
Interval_727	chr11	65342164	65342358	+	0	NA	TTS (FAM89B)	-TTS (FAM89B)	-1248	EHBP1L1	EHBP1L1	NM_001099409			EHBP1L1			NA
Interval_3599	chr9	125590873	125591101	+	0	NA	promoter-TSS (PDCL)	-promoter-TSS (PDCL)	-52	PDCL	PDCL	NM_005388			PDCL			NA
Interval_3485	chr8	100905830	100906092	+	0	NA	exon (COX6C, exon 1 of 4)	-exon (COX6C, exon 1 of 4)	281	COX6C	COX6C	NM_004374			COX6C			NA
Interval_495	chr10	1034066	1034278	+	0	NA	promoter-TSS (GTPBP4)	-promoter-TSS (GTPBP4)	-177	GTPBP4	GTPBP4	NM_012341			GTPBP4			NA
Interval_3024	chr6	24403058	24403306	+	0	NA	promoter-TSS (MRS2)	-promoter-TSS (MRS2)	46	MRS2	MRS2	NM_020662			MRS2			NA
Interval_1185	chr16	2097728	2098041	+	0	NA	promoter-TSS (TSC2)	-promoter-TSS (TSC2)	-17	NTHL1	NTHL1	NM_002528			NTHL1			NA
Interval_2952	chr5	145562067	145562430	+	0	NA	promoter-TSS (LARS)	-promoter-TSS (LARS)	46	LARS	LARS	NM_020117			LARS			NA
Interval_1993	chr19	45596319	45596471	+	0	NA	promoter-TSS (PPP1R37)	-promoter-TSS (PPP1R37)	-36	PPP1R37	PPP1R37	NM_019121			PPP1R37			NA
Interval_439	chr1	218458505	218458731	+	0	NA	promoter-TSS (RRP15)	-promoter-TSS (RRP15)	-11	RRP15	RRP15	NM_016052			RRP15			NA
Interval_3260	chr7	44621769	44622086	+	0	NA	promoter-TSS (TMED4)	-promoter-TSS (TMED4)	-33	TMED4	TMED4	NM_001303059			TMED4			NA
Interval_1853	chr19	15490663	15490816	+	0	NA	promoter-TSS (AKAP8)	-promoter-TSS (AKAP8)	-127	AKAP8	AKAP8	NM_005858			AKAP8			NA
Interval_3487	chr8	103540965	103541159	+	0	NA	Intergenic	Intergenic	-22786	ODF1	ODF1	NM_024410			ODF1			NA
Interval_1773	chr19	6199493	6199939	+	0	NA	Intergenic	Intergenic	64072	ACSBG2	ACSBG2	NM_030924			ACSBG2			NA
Interval_2860	chr4	187422029	187422258	+	0	NA	promoter-TSS (F11-AS1)	-promoter-TSS (F11-AS1)	69	F11-AS1	F11-AS1	NR_033900			F11-AS1			NA
Interval_623	chr11	809811	809959	+	0	NA	promoter-TSS (RPLP2)	-promoter-TSS (RPLP2)	-51	RPLP2	RPLP2	NM_001004			RPLP2			NA
Interval_3059	chr6	30875694	30875985	+	0	NA	promoter-TSS (GTF2H4)	-promoter-TSS (GTF2H4)	-138	GTF2H4	GTF2H4	NM_001517_3			GTF2H4			NA
Interval_1962	chr19	42363653	42363992	+	0	NA	promoter-TSS (RPS19)	-promoter-TSS (RPS19)	-166	RPS19	RPS19	NM_001022			RPS19			NA
Interval_570	chr10	80417465	80417613	+	0	NA	Intergenic	Intergenic	390454	LINC00595	LINC00595	NR_073447			LINC00595			NA
Interval_1115	chr15	70759402	70759536	+	0	NA	Intergenic	Intergenic	-148417	SALRNA3	SALRNA3	NR_126481			SALRNA3			NA
Interval_1547	chr17	43239028	43239253	+	0	NA	promoter-TSS (HEXIM2)	-promoter-TSS (HEXIM2)	1599	HEXIM2	HEXIM2	NM_001303439			HEXIM2			NA
Interval_3592	chr9	123605399	123605589	+	0	NA	promoter-TSS (PSMD5)	-promoter-TSS (PSMD5)	174	PSMD5-AS1	PSMD5-AS1	NR_024408			PSMD5-AS1			NA
Interval_1807	chr19	10613373	10613507	+	0	NA	promoter-TSS (KEAP1)	-promoter-TSS (KEAP1)	614	KEAP1	KEAP1	NM_203500			KEAP1			NA
Interval_3620	chr9	130954087	130954221	+	0	NA	promoter-TSS (CIZ1)	-promoter-TSS (CIZ1)	-11480	DNM1	DNM1	NM_001288739			DNM1			NA
Interval_2535	chr22	20004245	20004419	+	0	NA	promoter-TSS (TANGO2)	-promoter-TSS (TANGO2)	-23	ARVCF	ARVCF	NM_001670			ARVCF			NA
Interval_1403	chr16	89574726	89574860	+	0	NA	promoter-TSS (SPG7)	-promoter-TSS (SPG7)	-3	SPG7	SPG7	NM_003119			SPG7			NA
Interval_3655	chr9	133922217	133922433	+	0	NA	intron (LAMC3, intron 8 of 27)	-intron (LAMC3, intron 8 of 27)	37821	LAMC3	LAMC3	NM_006059			LAMC3			NA
Interval_2062	chr19	50432708	50432899	+	0	NA	promoter-TSS (NUP62)	-promoter-TSS (NUP62)	-7	IL4I1	IL4I1	NM_001258017			IL4I1			NA
Interval_2792	chr4	1714437	1714650	+	0	NA	promoter-TSS (SLBP)	-promoter-TSS (SLBP)	-75	SLBP	SLBP	NM_001306074			SLBP			NA
Interval_2094	chr19	54480818	54480965	+	0	NA	intron (CACNG8, intron 1 of 3)	-intron (CACNG8, intron 1 of 3)	-4670	MIR935	MIR935	NR_030632			MIR935			NA
Interval_132	chr1	27627343	27627553	+	0	NA	intron (WDTC1, intron 12 of 15)	-intron (WDTC1, intron 12 of 15)	-21188	TMEM222	TMEM222	NM_032125			TMEM222			NA
Interval_2880	chr5	33440681	33440971	+	0	NA	promoter-TSS (TARS)	-promoter-TSS (TARS)	-56	TARS	TARS	NM_001258438			TARS			NA
Interval_166	chr1	32860242	32860414	+	0	NA	promoter-TSS (BSDC1)	-promoter-TSS (BSDC1)	-266	BSDC1	BSDC1	NM_001300958			BSDC1			NA
Interval_2168	chr2	24270406	24270545	+	0	NA	promoter-TSS (C2orf44)	-promoter-TSS (C2orf44)	-179	C2orf44	C2orf44	NM_001142319			C2orf44			NA
Interval_1326	chr16	67906841	67907051	+	0	NA	promoter-TSS (EDC4)	-promoter-TSS (EDC4)	20	EDC4	EDC4	NM_014329			EDC4			NA
Interval_111	chr1	24306715	24307087	+	0	NA	promoter-TSS (SRSF10)	-promoter-TSS (SRSF10)	52	SRSF10	SRSF10	NM_001191007_1			SRSF10			NA
Interval_3009	chr6	6968970	6969104	+	0	NA	Intergenic	Intergenic	-138793	RREB1	RREB1	NM_001003698			RREB1			NA
Interval_43	chr1	6535672	6535861	+	0	NA	intron (PLEKHG5, intron 4 of 21)	-intron (PLEKHG5, intron 4 of 21)	-9511	TNFRSF25	TNFRSF25	NM_148970			TNFRSF25			NA
Interval_3319	chr7	99686408	99686688	+	0	NA	promoter-TSS (COPS6)	-promoter-TSS (COPS6)	-35	COPS6	COPS6	NM_006833			COPS6			NA
Interval_1136	chr15	82400817	82401028	+	0	NA	Intergenic	Intergenic	19987	LINC01583	LINC01583	NR_120367			LINC01583			NA
Interval_591	chr10	102027347	102027599	+	0	NA	promoter-TSS (CWF19L1)	-promoter-TSS (CWF19L1)	-35	CWF19L1	CWF19L1	NM_018294			CWF19L1			NA
Interval_3462	chr8	41998330	41998538	+	0	NA	Intergenic	Intergenic	-12030	AP3M2	AP3M2	NM_001134296			AP3M2			NA
Interval_3397	chr7	142985075	142985209	+	0	NA	promoter-TSS (CASP2)	-promoter-TSS (CASP2)	-166	CASP2	CASP2	NM_032982			CASP2			NA
Interval_1302	chr16	57481251	57481463	+	0	NA	promoter-TSS (CIAPIN1)	-promoter-TSS (CIAPIN1)	20	COQ9	COQ9	NM_020312			COQ9			NA
Interval_2399	chr20	35724316	35724546	+	0	NA	promoter-TSS (RBL1)	-promoter-TSS (RBL1)	-28	RBL1	RBL1	NM_183404			RBL1			NA
Interval_3045	chr6	28104532	28104732	+	0	NA	exon (ZSCAN16-AS1, exon 1 of 3)	-exon (ZSCAN16-AS1, exon 1 of 3)	462	ZSCAN16-AS1	ZSCAN16-AS1	NR_103455			ZSCAN16-AS1			NA
Interval_3010	chr6	8064733	8064899	+	0	NA	promoter-TSS (BLOC1S5)	-promoter-TSS (BLOC1S5)	-169	BLOC1S5	BLOC1S5	NM_001199323			BLOC1S5			NA
Interval_257	chr1	87597501	87597703	+	0	NA	promoter-TSS (LINC01140)	-promoter-TSS (LINC01140)	2154	LINC01140	LINC01140	NR_026989			LINC01140			NA
Interval_277	chr1	109806406	109806564	+	0	NA	intron (CELSR2, intron 9 of 33)	-intron (CELSR2, intron 9 of 33)	13844	CELSR2	CELSR2	NM_001408			CELSR2			NA
Interval_1260	chr16	30076703	30076977	+	0	NA	promoter-TSS (ALDOA)	-promoter-TSS (ALDOA)	1240	ALDOA	ALDOA	NM_184043			ALDOA			NA
Interval_3115	chr6	39082845	39083128	+	0	NA	promoter-TSS (SAYSD1)	-promoter-TSS (SAYSD1)	-24	SAYSD1	SAYSD1	NM_018322			SAYSD1			NA
Interval_1143	chr15	89787001	89787240	+	0	NA	promoter-TSS (FANCI)	-promoter-TSS (FANCI)	-74	FANCI	FANCI	NM_018193			FANCI			NA
Interval_3539	chr9	34126583	34126790	+	0	NA	promoter-TSS (DCAF12)	-promoter-TSS (DCAF12)	85	DCAF12	DCAF12	NM_015397			DCAF12			NA
Interval_1498	chr17	36956049	36956258	+	0	NA	promoter-TSS (PIP4K2B)	-promoter-TSS (PIP4K2B)	5	PIP4K2B	PIP4K2B	NM_003559			PIP4K2B			NA
Interval_2273	chr2	132250573	132250712	+	0	NA	promoter-TSS (MZT2A)	-promoter-TSS (MZT2A)	256	LOC150776	LOC150776	NR_026922			LOC150776			NA
Interval_1669	chr18	10525778	10526118	+	0	NA	promoter-TSS (NAPG)	-promoter-TSS (NAPG)	75	NAPG	NAPG	NM_003826			NAPG			NA
Interval_1490	chr17	33905532	33905768	+	0	NA	promoter-TSS (PEX12)	-promoter-TSS (PEX12)	6	PEX12	PEX12	NM_000286			PEX12			NA
Interval_2279	chr2	133104921	133105062	+	0	NA	Intergenic	Intergenic	40274	ZNF806	ZNF806	NM_001304449			ZNF806			NA
Interval_421	chr1	205091301	205091487	+	0	NA	promoter-TSS (RBBP5)	-promoter-TSS (RBBP5)	-244	RBBP5	RBBP5	NM_005057			RBBP5			NA
Interval_479	chr1	236687137	236687380	+	0	NA	exon (LGALS8, exon 1 of 10)	-exon (LGALS8, exon 1 of 10)	550	LGALS8-AS1	LGALS8-AS1	NR_034040			LGALS8-AS1			NA
Interval_3549	chr9	37904195	37904509	+	0	NA	promoter-TSS (SLC25A51)	-promoter-TSS (SLC25A51)	-2	SLC25A51	SLC25A51	NM_033412			SLC25A51			NA
Interval_1244	chr16	28503343	28503527	+	0	NA	promoter-TSS (CLN3)	-promoter-TSS (CLN3)	-32	CLN3	CLN3	NM_001286104			CLN3			NA
Interval_1639	chr17	79071267	79071401	+	0	NA	intron (BAIAP2, intron 6 of 14)	-intron (BAIAP2, intron 6 of 13)	27839	MIR657	MIR657	NR_030394			MIR657			NA
Interval_754	chr11	67396739	67396960	+	0	NA	intron (NUDT8, intron 1 of 2)	-intron (NUDT8, intron 1 of 3)	559	NUDT8	NUDT8	NM_181843			NUDT8			NA
Interval_85	chr1	16970900	16971522	+	0	NA	promoter-TSS (MST1P2)	-promoter-TSS (MST1P2)	-858	MST1P2	MST1P2	NR_027504			MST1P2			NA
Interval_367	chr1	161369438	161369613	+	0	NA	Intergenic	Intergenic	-31852	CFAP126	CFAP126	NM_001013625			CFAP126			NA
Interval_1548	chr17	43394365	43394689	+	0	NA	promoter-TSS (MAP3K14)	-promoter-TSS (MAP3K14)	-97	MAP3K14	MAP3K14	NM_003954			MAP3K14			NA
Interval_1021	chr14	37636977	37637111	+	0	NA	intron (SLC25A21, intron 1 of 9)	-intron (SLC25A21, intron 1 of 10)	-4187	SLC25A21-AS1	SLC25A21-AS1	NR_033240			SLC25A21-AS1			NA
Interval_23	chr1	2111850	2112178	+	0	NA	intron (PRKCZ, intron 16 of 17)	-intron (PRKCZ, intron 13 of 14)	14200	FAAP20	FAAP20	NM_001282670			FAAP20			NA
Interval_1571	chr17	48785254	48785389	+	0	NA	promoter-TSS (ANKRD40)	-promoter-TSS (ANKRD40)	-51	ANKRD40	ANKRD40	NM_052855			ANKRD40			NA
Interval_1519	chr17	40714003	40714319	+	0	NA	promoter-TSS (COASY)	-promoter-TSS (COASY)	69	COASY	COASY	NM_001042532			COASY			NA
Interval_3220	chr7	5085376	5085563	+	0	NA	promoter-TSS (RBAK)	-promoter-TSS (RBAK)	17	RBAK-RBAKDN	RBAK-RBAKDN	NM_001204513			RBAK-RBAKDN			NA
Interval_1966	chr19	42721891	42722072	+	0	NA	promoter-TSS (DEDD2)	-promoter-TSS (DEDD2)	-37	DEDD2	DEDD2	NM_001270614			DEDD2			NA
Interval_2569	chr22	22006013	22006396	+	0	NA	Intergenic	Intergenic	-1066	MIR301B	MIR301B	NR_030622			MIR301B			NA
Interval_3393	chr7	140179064	140179271	+	0	NA	exon (MKRN1, exon 1 of 5)	-exon (MKRN1, exon 1 of 5)	202	MKRN1	MKRN1	NM_001145125			MKRN1			NA
Interval_153	chr1	29609451	29609696	+	0	NA	intron (PTPRU, intron 12 of 29)	-intron (PTPRU, intron 12 of 29)	46545	PTPRU	PTPRU	NM_005704			PTPRU			NA
Interval_3640	chr9	132565369	132565505	+	0	NA	promoter-TSS (TOR1B)	-promoter-TSS (TOR1B)	5	TOR1B	TOR1B	NM_014506			TOR1B			NA
Interval_1631	chr17	77005867	77006017	+	0	NA	promoter-TSS (CANT1)	-promoter-TSS (CANT1)	-43	CANT1	CANT1	NM_001159773			CANT1			NA
Interval_1750	chr19	3626830	3627015	+	0	NA	promoter-TSS (CACTIN)	-promoter-TSS (CACTIN)	-109	CACTIN	CACTIN	NM_001080543			CACTIN			NA
Interval_644	chr11	9634763	9634950	+	0	NA	Intergenic	Intergenic	39628	WEE1	WEE1	NM_001143976			WEE1			NA
Interval_75	chr1	16162339	16162776	+	0	NA	exon (FLJ37453, exon 2 of 2)	-exon (FLJ37453, exon 2 of 2)	-11802	SPEN	SPEN	NM_015001			SPEN			NA
Interval_2268	chr2	122407540	122407700	+	0	NA	promoter-TSS (CLASP1)	-promoter-TSS (CLASP1)	390	NIFK-AS1	NIFK-AS1	NR_037857			NIFK-AS1			NA
Interval_2603	chr22	31885756	31886001	+	0	NA	promoter-TSS (EIF4ENIF1)	-promoter-TSS (EIF4ENIF1)	-4	EIF4ENIF1	EIF4ENIF1	NM_019843			EIF4ENIF1			NA
Interval_1314	chr16	66907135	66907301	+	0	NA	Intergenic	Intergenic	-7165	PDP2	PDP2	NM_020786			PDP2			NA
Interval_2606	chr22	36925244	36925408	+	0	NA	promoter-TSS (EIF3D)	-promoter-TSS (EIF3D)	-49	EIF3D	EIF3D	NM_003753			EIF3D			NA
Interval_2571	chr22	22006689	22006843	+	0	NA	promoter-TSS (MIR130B)	-promoter-TSS (MIR130B)	-504	MIR301B	MIR301B	NR_030622			MIR301B			NA
Interval_89	chr1	17746525	17746659	+	0	NA	intron (RCC2, intron 7 of 12)	-intron (RCC2, intron 6 of 11)	19658	RCC2	RCC2	NM_018715			RCC2			NA
Interval_1153	chr15	91565761	91565975	+	0	NA	promoter-TSS (VPS33B)	-promoter-TSS (VPS33B)	16	LOC101926911	LOC101926911	NR_110104			LOC101926911			NA
Interval_3483	chr8	95907375	95907618	+	0	NA	promoter-TSS (CCNE2)	-promoter-TSS (CCNE2)	-14	CCNE2	CCNE2	NM_057749			CCNE2			NA
Interval_2099	chr19	54663632	54663834	+	0	NA	promoter-TSS (LENG1)	-promoter-TSS (LENG1)	-252	LENG1	LENG1	NM_024316			LENG1			NA
Interval_636	chr11	4115924	4116195	+	0	NA	exon (RRM1, exon 1 of 19)	-exon (RRM1, exon 1 of 19)	135	RRM1	RRM1	NM_001033			RRM1			NA
Interval_2335	chr2	232646215	232646503	+	0	NA	promoter-TSS (COPS7B)	-promoter-TSS (COPS7B)	-322	PDE6D	PDE6D	NM_001291018			PDE6D			NA
Interval_3714	chrX	49056681	49056885	+	0	NA	promoter-TSS (SYP)	-promoter-TSS (SYP)	-122	SYP	SYP	NM_003179			SYP			NA
Interval_2035	chr19	49223846	49224074	+	0	NA	promoter-TSS (MAMSTR)	-promoter-TSS (MAMSTR)	-3746	MAMSTR	MAMSTR	NM_001130915			MAMSTR			NA
Interval_1280	chr16	30968370	30968533	+	0	NA	promoter-TSS (SETD1A)	-promoter-TSS (SETD1A)	-164	SETD1A	SETD1A	NM_014712			SETD1A			NA
Interval_1319	chr16	67515083	67515415	+	0	NA	promoter-TSS (ATP6V0D1)	-promoter-TSS (ATP6V0D1)	-160	ATP6V0D1	ATP6V0D1	NM_004691			ATP6V0D1			NA
Interval_666	chr11	36615882	36616026	+	0	NA	promoter-TSS (C11orf74)	-promoter-TSS (C11orf74)	-89	C11orf74	C11orf74	NM_138787			C11orf74			NA
Interval_1344	chr16	71501743	71501916	+	0	NA	Intergenic	Intergenic	-5703	ZNF23	ZNF23	NM_001304494			ZNF23			NA
Interval_580	chr10	86016924	86017058	+	0	NA	intron (RGR, intron 5 of 5)	-intron (RGR, intron 5 of 6)	12182	RGR	RGR	NM_001012722			RGR			NA
Interval_1652	chr17	79988423	79988563	+	0	NA	exon (LRRC45, exon 17 of 17)	-exon (LRRC45, exon 17 of 17)	-1039	RAC3	RAC3	NM_005052			RAC3			NA
Interval_3432	chr7	158649102	158649369	+	0	NA	promoter-TSS (WDR60)	-promoter-TSS (WDR60)	-34	WDR60	WDR60	NM_018051			WDR60			NA
Interval_3326	chr7	100026383	100026597	+	0	NA	promoter-TSS (MEPCE)	-promoter-TSS (MEPCE)	-59	ZCWPW1	ZCWPW1	NM_017984			ZCWPW1			NA
Interval_2407	chr20	37555039	37555203	+	0	NA	exon (FAM83D, exon 1 of 4)	-exon (FAM83D, exon 1 of 4)	166	FAM83D	FAM83D	NM_030919			FAM83D			NA
Interval_3540	chr9	35103069	35103326	+	0	NA	promoter-TSS (STOML2)	-promoter-TSS (STOML2)	-5	STOML2	STOML2	NM_001287032			STOML2			NA
Interval_2646	chr3	12883162	12883435	+	0	NA	promoter-TSS (RPL32)	-promoter-TSS (RPL32)	-1349	RPL32	RPL32	NM_001007073			RPL32			NA
Interval_312	chr1	147806613	147806862	+	0	NA	promoter-TSS (MIR5087)	-promoter-TSS (MIR5087)	-59	MIR5087	MIR5087	NR_049810			MIR5087			NA
Interval_447	chr1	224544393	224544605	+	0	NA	promoter-TSS (CNIH4)	-promoter-TSS (CNIH4)	-14	CNIH4	CNIH4	NM_001277200			CNIH4			NA
Interval_1919	chr19	36236322	36236465	+	0	NA	promoter-TSS (U2AF1L4)	-promoter-TSS (U2AF1L4)	-50	U2AF1L4	U2AF1L4	NM_144987			U2AF1L4			NA
Interval_2229	chr2	75185912	75186048	+	0	NA	exon (POLE4, exon 1 of 4)	-exon (POLE4, exon 1 of 4)	205	POLE4	POLE4	NM_019896			POLE4			NA
Interval_3607	chr9	130186599	130186733	+	0	NA	promoter-TSS (ZNF79)	-promoter-TSS (ZNF79)	13	ZNF79	ZNF79	NM_001286698			ZNF79			NA
Interval_3137	chr6	44095097	44095241	+	0	NA	promoter-TSS (TMEM63B)	-promoter-TSS (TMEM63B)	22	MRPL14	MRPL14	NM_032111			MRPL14			NA
Interval_1420	chr17	3539934	3540071	+	0	NA	promoter-TSS (SHPK)	-promoter-TSS (SHPK)	240	CTNS	CTNS	NM_001031681			CTNS			NA
Interval_1763	chr19	5622813	5623162	+	0	NA	promoter-TSS (SAFB)	-promoter-TSS (SAFB)	-49	SAFB2	SAFB2	NM_014649			SAFB2			NA
